,Ridge_Alpha_Beta_ensemble
0,1.9873213358445752
1,2.335446383176071
2,2.773708090164009
3,3.1210453920159758
4,3.434488384674431
5,3.494554478106213
6,3.2271510832108565
7,2.7345610329594705
8,2.3518686809365703
9,2.073359936444526
10,1.8196545404058537
11,2.1220266406508506
12,2.395460157436824
13,2.3484951780222527
14,2.987709636767248
15,3.0540735711981477
16,3.420182542792995
17,3.4572614399292494
18,3.657720589412099
19,3.7002892658402486
20,3.8576955164374134
21,4.041599600166065
22,3.857686556548346
23,3.927187522488008
24,4.528062892944217
25,5.340180036694483
26,5.5152284395206115
27,5.680120515671605
28,5.715674065825905
29,5.942935845022707
30,5.377765670408474
31,4.996942285151518
32,4.625860645510836
33,4.697211516806949
34,4.3661137183389265
35,4.513058990974122
36,4.042791519322057
37,4.934944455867923
38,5.092321836106638
39,5.026398429121942
40,5.457822300455178
41,5.34790238481014
42,5.5094575726550445
43,5.440126547252898
44,4.538289194904827
45,5.0650086042381615
46,5.458268107351479
47,5.702167806973174
48,6.191100491359353
49,6.830128212807226
50,7.3631248544575545
51,7.500996228343767
52,7.929988051776484
53,8.131103339668691
54,7.455882688067448
55,7.136717344349971
56,6.716753720853508
57,6.064827478075882
58,5.410828931928653
59,5.519405526989308
60,5.322628608619817
61,5.42308644029638
62,4.918021754859702
63,4.896419899893323
64,5.291690626396258
65,5.089497046295159
66,4.829201788349198
67,4.91504279474824
68,5.034887447990904
69,4.940538414718701
70,5.208914422386826
71,5.2928601145690575
72,5.65525977032779
73,6.290221885629608
74,7.002723562071118
75,8.175243150185612
76,8.438104326028114
77,7.665968426815202
78,7.3882094137092045
79,6.742394580075302
80,6.463342290893923
81,6.112659015403471
82,5.746396586213147
83,5.759453930302492
84,5.497066011015422
85,5.89479566644088
86,6.581465838935125
87,6.3740969641707075
88,5.750845831741076
89,6.419251579044375
90,6.456006409739929
91,6.795330254257391
92,6.098089916133576
93,6.132952764630113
94,5.980783095411375
95,6.148351009483706
96,6.698552341997315
97,6.814114891676407
98,6.006080811084039
99,6.310320354166333
100,5.454572633647388
101,5.178868768081042
102,4.725891867876082
103,3.888903594384023
104,3.33891441641439
105,2.7817052336389607
106,2.0820546038200507
107,1.747692116352618
108,1.9645413520225945
109,2.3084672075539343
110,2.692424479265703
111,2.9154421690184016
112,3.0654912791331035
113,2.8014395745213885
114,3.018961324175328
115,2.946671445352423
116,3.2095120238450936
117,3.0529532643167756
118,3.0779654310062394
119,2.963564739790548
120,3.024596440122097
121,2.9557816202335543
122,2.7345305476266284
123,2.84838349142537
124,3.152853776381662
125,3.3263252450634315
126,3.1736258153213712
127,2.7727123210862143
128,2.6167472095498616
129,2.629510686978401
130,2.7254385301816217
131,2.936678886561067
132,3.2376437537576424
133,3.367099240905031
134,3.6380298264985402
135,3.396642106952934
136,3.6150368291344575
137,3.644009291316243
138,3.4744196797062887
139,3.53054629746031
140,3.5709778546442803
141,3.7572450962418866
142,3.699554483134237
143,3.3297525734657016
144,3.077487354958414
145,3.0266150615139624
146,2.8751609738129273
147,3.301301900151108
148,3.4708615299548065
149,3.375684653751142
150,3.2272357678467634
151,3.1202619002933156
152,2.816594860555778
153,2.9559113908563805
154,3.311971659269352
155,3.616843528673626
156,4.0211835528527375
157,4.378941896063044
158,4.635473163603186
159,4.748344745965321
160,4.566603421753387
161,4.307803847143466
162,4.238289288066886
163,4.267397870942274
164,4.333773312591223
165,4.14132804124004
