,Ridge_Alpha_Beta_Full_ensemble
0,1.975044766401262
1,2.3376536278579674
2,2.7851165943196747
3,3.1293065285283523
4,3.4446532250882207
5,3.5083692778163744
6,3.2363987185699044
7,2.735811530363331
8,2.343172281784572
9,2.072540827968245
10,1.8275038830998096
11,2.1290570656907706
12,2.412531765874404
13,2.351610627081987
14,3.0034348783522358
15,3.0746363990863266
16,3.4476986754801646
17,3.4785030519643474
18,3.6704304512705
19,3.7223455397792224
20,3.8748418882627726
21,4.043559057836314
22,3.858121884259948
23,3.9151582091014765
24,4.5204154108830235
25,5.333333907358505
26,5.512825783418927
27,5.68610753479423
28,5.707160323316947
29,5.9393781742727105
30,5.392481942374123
31,5.005708142321369
32,4.633691960221134
33,4.7112212735449255
34,4.3778126073399655
35,4.518460013258229
36,4.04459501630263
37,4.935714640519089
38,5.097551115880229
39,5.036794278714858
40,5.46714579565939
41,5.367072044690294
42,5.499497223158515
43,5.42308609135607
44,4.551479527044456
45,5.050494844381432
46,5.442761981177712
47,5.67549341098668
48,6.1667993342081955
49,6.7957970419174725
50,7.351040361531149
51,7.482667790549365
52,7.908506436020724
53,8.118019996215299
54,7.452021347793723
55,7.122333338476985
56,6.716356526075162
57,6.0561805876091945
58,5.3950370111940495
59,5.5091376343574465
60,5.329874876181931
61,5.41558869122342
62,4.930704103427583
63,4.888285837440901
64,5.283838175203121
65,5.09170332833295
66,4.823500934797505
67,4.908653569843483
68,5.034487373814663
69,4.933737440927036
70,5.19902747416988
71,5.271921883305953
72,5.623102839877255
73,6.255434656267757
74,6.992928869465514
75,8.148986492586383
76,8.414001071644151
77,7.644115256104087
78,7.371659137019418
79,6.733233805832456
80,6.454045611531332
81,6.120151092869178
82,5.760544460575583
83,5.769947498757096
84,5.500071421343707
85,5.895759144411412
86,6.562845863105806
87,6.368042607019838
88,5.769942848960302
89,6.433270754616846
90,6.4539580668765035
91,6.789280149124935
92,6.104806043558821
93,6.138033355386474
94,5.978353603310405
95,6.130683576186861
96,6.657785007413683
97,6.7703546305132525
98,5.984767726218516
99,6.281938170582394
100,5.4413229954373765
101,5.16152815365348
102,4.698460020300288
103,3.866063325807139
104,3.325746894859599
105,2.752735800654292
106,2.041552449575417
107,1.7286013503988356
108,1.9509063073993298
109,2.300394254895085
110,2.682224503029241
111,2.908667983142427
112,3.067597832756381
113,2.803937755107674
114,3.026731341018709
115,2.944594114036261
116,3.1963261102349487
117,3.046648218483757
118,3.065762863374295
119,2.9512888314516292
120,2.9961793620195594
121,2.9240364290053646
122,2.7132965274805
123,2.8322905954806634
124,3.1357253171748076
125,3.311757240230703
126,3.1656963174504873
127,2.7676925405720905
128,2.610838698626963
129,2.627894597631236
130,2.7436224071378397
131,2.9428841497923
132,3.2563349670787414
133,3.3873912383993208
134,3.647405562221686
135,3.4047163003331042
136,3.6227894137813617
137,3.6512868858816896
138,3.489457336147488
139,3.5425043032851455
140,3.582946134491451
141,3.751567958839438
142,3.706762815658515
143,3.3190064765417793
144,3.0653299218035692
145,3.0128532676401742
146,2.8717588492634674
147,3.307439672097101
148,3.475183304922294
149,3.3764844134103207
150,3.238234321816709
151,3.124945374965237
152,2.8202935607045534
153,2.9683701690704467
154,3.3239246521524812
155,3.6279184892011513
156,4.027956319108703
157,4.380467608925699
158,4.634338485926914
159,4.7454756231408695
160,4.567926512641187
161,4.3184740861792985
162,4.244276423046015
163,4.274685674179142
164,4.340767353787817
165,4.146041296683169
166,4.08258569337755
167,3.4004627880666125
168,2.7497830326939607
169,2.133420009930078
170,1.966220621431575
171,2.046821135498814
172,2.1595441087752025
173,2.00078818207257
174,2.005112643009081
175,1.8686696635739075
176,1.5431281798023742
177,1.6516620533861641
178,1.941424481491901
179,2.423623181119315
180,3.2661152589325178
181,3.53472869881433
182,3.8529363171711024
183,4.001929720857523
184,4.0406082795376514
185,4.097655665970734
186,3.979497697626965
187,4.312259668601814
188,3.9324615570657424
189,4.108213263806406
190,3.6620993272969504
191,2.8259540921517927
192,1.6160653668779945
193,1.7374471194249994
194,2.1029029305739604
195,2.1404302936996578
196,2.324445384221961
197,2.2388598024630197
198,1.9399398463486723
199,1.3811207095509819
200,1.1747789102407344
201,1.6710190376585474
202,2.597710008028652
203,3.2076622510429496
204,3.5429254396885583
205,4.007910345972535
206,4.113681194543163
207,4.115812750838251
208,4.009810387983144
209,3.9727905117049915
210,4.26407146406004
211,4.305056158855869
212,4.185341811691407
213,3.9336840850139185
214,3.712980608146555
215,2.986871926055046
216,2.080212907677011
217,1.4564230200709256
218,1.4659146652264168
219,1.6985748035535786
220,2.2859554326370075
221,2.2932976389883812
222,2.1509746732426387
223,1.676405247888155
224,1.1435007664452173
225,1.7963556934503102
226,2.1952123537820833
227,2.994865866147427
228,3.2167035860747166
229,3.464153356849129
230,3.381313216955343
231,3.348747165315387
232,3.4230337124858052
233,3.831763460146982
234,4.2626834900791835
235,4.212240024963502
236,4.2677093431657385
237,4.0594867181936705
238,3.6983123667231963
239,2.914411189526948
240,2.1178755333414268
241,1.9975188548117775
242,1.7180291207867429
243,1.7450960871938581
244,2.196627947381021
245,2.4912537349686494
246,2.4408755567667018
247,1.9829918930260066
248,1.852713113884108
249,2.2447943845601372
250,3.0229926815016444
251,3.4459606449328963
252,4.019603648633851
253,3.882580109735971
254,4.072644144415139
255,4.096681677604494
256,4.05977615329401
257,4.316616900202226
258,4.259199284741773
259,3.770637415729821
260,3.973321770912892
261,3.7795179966619283
262,3.6007902566067567
263,2.948615444197765
264,2.904523401864183
265,3.089951209173469
266,2.989013158199338
267,3.3532379479620844
268,3.4069659094165186
269,3.5892164522908216
270,3.5913122252846192
271,3.3876444537703945
272,3.1396390392542433
273,3.4193232119852865
274,3.8864818649225605
275,4.2197621172103545
276,4.439921570801925
277,4.652730825755775
278,4.672590324663957
279,4.468682978851607
280,4.344482747730486
281,4.357394669018558
282,4.031790447116809
283,3.86836153056396
284,3.5450627837927797
285,3.9663851774247973
286,3.604258812812843
287,2.982218248707134
288,2.202994446344415
289,1.499874220483629
290,1.5923378523631766
291,2.197967043484889
292,2.0380530824046224
293,2.134688347987321
294,1.792889979398266
295,1.5912215191674834
296,1.2148247489272053
297,1.2998105798391912
298,1.6735202884016809
299,2.1786665316140863
300,2.7858243686836057
301,2.802485105115074
302,2.7560187361306108
303,3.092638951565738
304,3.219982366714587
305,3.479563633236001
306,3.4661959463922134
307,3.587505269539527
308,3.841684346441174
309,3.7610722291095433
310,3.4148332541026027
311,2.799456512868038
312,1.9822817312745975
313,1.5152560494732474
314,1.7616167658369488
315,2.35038978812844
316,2.200268381917986
317,2.278894762114041
318,2.180946426725647
319,1.6637470856396417
320,1.8495395367530392
321,2.5175224050009595
322,3.0563337549062006
323,3.7104690452214557
324,4.120531320416297
325,4.199260165084463
326,4.485177579498932
327,4.353911131678045
328,3.979555723179131
329,3.883335847645998
330,3.8450445391664054
331,4.077189653785183
332,4.1562397641669895
333,4.127183154239271
334,3.450430211844699
335,2.599892705952127
336,2.290362788412369
337,2.0700232516258783
338,1.6923018231914655
339,1.8446687438101894
340,2.2092928861914465
341,2.286861475453278
342,2.3553458613347313
343,2.321852423225075
344,2.4068040096080012
345,2.65673680757057
346,3.2985830097303683
347,3.979063852745315
348,3.9309052753790463
349,3.5953360771271177
350,3.7306583781389335
351,3.7022245460292127
352,3.903782228338226
353,3.8457300588284915
354,3.783282489074744
355,3.9704099032160887
356,3.6345253195488336
357,3.4055546409985697
358,2.9497582488241294
359,1.8322295260526602
360,1.2623684011852006
361,1.8320706040665653
362,2.225694868119742
363,2.186639541092211
364,2.4566957810014247
365,2.313596650666241
366,2.3729376843625873
367,1.8894788932635453
