,Ridge_ensemble
0,1.9366525775746986
1,2.1709897562691394
2,2.6709775095939206
3,3.0486258790895984
4,3.4072213011003805
5,3.4940238968475157
6,3.2234916739314885
7,2.705947274172498
8,2.3309249490503356
9,1.9273835606569623
10,1.7760212966856317
11,2.0322800099134373
12,2.2208266692314207
13,2.203283870537488
14,2.8912636932030713
15,2.9753658446848252
16,3.404749892682613
17,3.443282880582803
18,3.6761618781715915
19,3.6864469039397108
20,3.823322126490349
21,4.03550839950173
22,3.8653355844817057
23,3.899796345217068
24,4.492693409802579
25,5.34586629285933
26,5.591790108834777
27,5.684628929329884
28,5.667495101501398
29,5.789285215933777
30,5.257357194468108
31,4.917527517654436
32,4.619313780433654
33,4.638861911353789
34,4.329564657027479
35,4.429371777665397
36,3.9672954607191757
37,4.847238007741665
38,5.123096640500108
39,5.175253636210889
40,5.383861018503596
41,5.32138341367386
42,5.7713929790475476
43,5.574571591171729
44,4.6225150662418235
45,5.055667682831522
46,5.33303475891943
47,5.509315460640495
48,6.017685552692567
49,6.5903764687767925
50,7.172571988631317
51,7.275315601284514
52,7.614277572390235
53,7.713768948955188
54,7.221020666885287
55,6.813419214222009
56,6.371205320463071
57,5.813670102827313
58,5.25921375798413
59,5.352547695195226
60,5.393710491641347
61,5.5178065209436316
62,4.98253287866128
63,4.941874446862088
64,5.365566457968567
65,5.16454003025956
66,4.925173986870837
67,5.041940607793854
68,5.166002231563437
69,5.07644197053594
70,5.351720706005328
71,5.583611370893762
72,5.9732360699033356
73,6.393814031078227
74,7.057061562489892
75,7.967595343994619
76,8.505040944501806
77,8.296943763309333
78,7.846916627804562
79,7.074374729999098
80,6.488902065528482
81,6.219609981010304
82,6.167973633726282
83,5.95747904373969
84,5.280308227824664
85,5.6501658105801535
86,6.5616203829964395
87,6.632164791865901
88,5.900244998789182
89,6.343872973889956
90,6.488293387306843
91,6.810516479539341
92,6.423952602784656
93,6.314156342418038
94,6.045835701300831
95,6.07205550360616
96,6.843578313200206
97,7.1033770228922
98,6.600543340355191
99,6.497277997003392
100,5.694848169527499
101,5.337715650909871
102,4.822657289739787
103,3.8675428681642523
104,3.3067276458045614
105,2.682156057758328
106,1.9451084509617211
107,1.555715980927273
108,1.7696529742401652
109,2.0648333809053034
110,2.527270831807246
111,2.811657596078282
112,2.948300023981685
113,2.6766896220995395
114,2.904664265948673
115,2.814726782051842
116,3.090104780971749
117,2.919642681200777
118,2.957130508828585
119,2.8187329490922792
120,2.9230385167425426
121,2.852972870587163
122,2.6357346564350794
123,2.7118921645927454
124,3.0456140871240542
125,3.2661268837717303
126,3.124738718840355
127,2.6946416719668385
128,2.552037105590369
129,2.563599425438683
130,2.6691031203075664
131,2.866679760537348
132,3.1662291085491914
133,3.313768706743156
134,3.6272709496648208
135,3.4051464930376234
136,3.6152350892763234
137,3.6888119214224235
138,3.494874688133348
139,3.5324242024245267
140,3.5609084605504413
141,3.7349500624627785
142,3.700526192672312
143,3.2916855698153547
144,3.062268156564219
145,3.0036894827688085
146,2.8402486761501216
147,3.3039872273847726
148,3.4920768802662927
149,3.4045758139222935
150,3.2501040870952034
151,3.1674453728673915
152,2.8968339031394894
153,3.0070841746673134
154,3.3206616787169163
155,3.6354953836492685
156,4.0528396742862975
157,4.334308968277405
158,4.570385611682733
159,4.695080539529824
160,4.5534977817518385
161,4.302440326137147
162,4.205952674664635
163,4.253799830083038
164,4.319780127474743
165,4.146237211962378
166,4.082860234774385
167,3.4425937468963967
168,2.763920735964925
169,2.0871652356528325
170,1.9496526742515472
171,2.021865794022922
172,2.0892078407266057
173,1.9683102942292172
174,2.0184899851181637
175,2.0511080798873595
176,1.8825040269151812
177,2.0937229176569483
178,2.3411762070392825
179,2.486048900479073
180,3.1216344670319724
181,3.3653274986095942
182,3.7870036606756616
183,3.9396172645143155
184,4.0119471463083585
185,4.041350223123402
186,3.9570204099648425
187,4.325950311253335
188,3.931426163739487
189,4.165464200730985
190,3.7322248310516466
191,2.8802499164370987
192,1.6111179533579292
193,1.7981146717285932
194,2.120601972821114
195,2.0985280841600873
196,2.2552852814221
197,2.252277382048061
198,2.0785542257953646
199,1.4867252756701386
200,1.488041991872021
201,1.9819042840588992
202,2.704408945953142
203,3.204163014623619
204,3.507233394160236
205,3.9252081867127155
206,4.063552691873346
207,4.043807036317036
208,3.9082867911459185
209,3.8925886220342747
210,4.202318337018336
211,4.263366014928673
