condition_number,fit_seconds,iterations,lambda,linear_solver,method,n_parameters,objective_variant,preparation_seconds,residual_norm,selection_metric,solve_seconds,tau,validation_cvar_05,validation_mae,validation_rmse,fit_and_validation_seconds,forgetting,ridge,eta,window,gamma,seed,share,C,epsilon,sweep,setting
320812.38113720546,0.23200310000000002,0,0.01,cholesky,adaptive_ridge,510,quadratic_stacked_beta,0.1832311,2.3131117923293164e-15,mae,0.048772,5,0.19315773207151238,0.06743707726364771,0.08446406107238992,,,,,,,16,,,,drift,0.4
,8.89e-5,,0.01,,static_ridge,,,,,mae,,,0.18018664441671364,0.06175857239241533,0.07785626598472639,,,,,,,16,,,,drift,0.4
,,,,,rls,,,,,mae,,,0.1731144052688682,0.06031356533486374,0.07524854676854917,0.0024961,0.995,0.1,,,,16,,,,drift,0.4
,,,,,hedge,,,,,mae,,,0.24733745965349663,0.0910063349143973,0.11211507251629703,0.0008742,,,0.01,0,,16,,,,drift,0.4
,,,,,exp3,,,,,mae,,,0.7530194786681232,0.18633044603991178,0.2600949836791068,0.0019584,,,,,0.2,16,,,,drift,0.4
,,,,,fixed_share,,,,,mae,,,0.246521713316711,0.0885877184591727,0.10928991473289201,0.0016468,,,0.05,,,16,0.01,,,drift,0.4
,,,,,passive_aggressive,,,,,mae,,,0.18890740578926915,0.06383348388534701,0.08001220354897567,0.0001466,,,,,,16,,1.0e12,0.1,drift,0.4
13580.627638550937,0.0016631999999999999,0,0.0001,cholesky,adaptive_ridge,48,quadratic_stacked_beta,0.0014964,2.4767088793141085e-16,mae,0.0001668,5,0.48503845489882236,0.16090365268931428,0.20312965216849732,,,,,,,2,,,,members,3.0
,3.63e-5,,0.01,,static_ridge,,,,,mae,,,0.47285542390428614,0.16603278171582866,0.2065191434596314,,,,,,,2,,,,members,3.0
,,,,,rls,,,,,mae,,,0.3887120435005631,0.12421948295342952,0.15820330530301752,0.0032774,0.95,0.0001,,,,2,,,,members,3.0
,,,,,hedge,,,,,mae,,,0.5075886731805095,0.17748594243531945,0.22052553159529512,0.0007822,,,1.0,72,,2,,,,members,3.0
,,,,,exp3,,,,,mae,,,0.6211773484585863,0.17153457571637104,0.23146297811615907,0.0006985,,,,,0.05,2,,,,members,3.0
,,,,,fixed_share,,,,,mae,,,0.41756494878545847,0.14332348721192636,0.17909923139121628,0.0007771,,,0.05,,,2,0.01,,,members,3.0
,,,,,passive_aggressive,,,,,mae,,,0.6475263621874318,0.16154246871114,0.22573975827726336,0.0002583,,,,,,2,,1.0e12,0.1,members,3.0
895.2505447076787,0.0015869,0,0.1,cholesky,adaptive_ridge,48,quadratic_stacked_beta,0.0014185,1.942890293094024e-16,mae,0.0001684,5,0.6433482459823615,0.23921483337873511,0.2948117113547481,,,,,,,3,,,,members,3.0
,3.74e-5,,0.1,,static_ridge,,,,,mae,,,0.6495593660730843,0.23738863542512792,0.2933348706721731,,,,,,,3,,,,members,3.0
,,,,,rls,,,,,mae,,,0.6550553307745384,0.1943075891644275,0.25477541849170143,0.0009732,0.9,1.0e-6,,,,3,,,,members,3.0
,,,,,hedge,,,,,mae,,,0.698352064055293,0.29731840678831994,0.3473555301034087,0.0016081,,,1.0,0,,3,,,,members,3.0
,,,,,exp3,,,,,mae,,,0.9282735244317242,0.32256880794991677,0.40191793829502687,0.0009044,,,,,0.1,3,,,,members,3.0
