condition_number,fit_seconds,iterations,lambda,linear_solver,n_parameters,objective_variant,preparation_seconds,residual_norm,solve_seconds,tau,validation_cvar_05,validation_mae,validation_rmse,method,fit_and_validation_seconds,forgetting,ridge,eta,window,gamma,seed,share,C,epsilon,sweep,setting
15062.844892854711,0.022417,0,0.0001,cholesky,48,quadratic_stacked_beta,0.0222938,4.2280303928140435e-16,0.0001232,5,0.40757482378796317,0.1288700864719607,0.16622627961124942,adaptive_ridge,,,,,,,1,,,,members,3.0
14756.481594084858,0.022413799999999998,0,0.001,cholesky,48,quadratic_stacked_beta,0.0222938,2.594209214658322e-16,0.00012,5,0.40039379159235383,0.12732816254682924,0.1639750986880917,adaptive_ridge,,,,,,,1,,,,members,3.0
12279.744364796896,0.0224276,0,0.01,cholesky,48,quadratic_stacked_beta,0.0222938,2.8800589454441337e-16,0.0001338,5,0.35386353673745086,0.11756071697732166,0.14929789727800058,adaptive_ridge,,,,,,,1,,,,members,3.0
4773.043416934134,0.0224721,0,0.1,cholesky,48,quadratic_stacked_beta,0.0222938,2.2422936607558627e-16,0.0001783,5,0.35438082219106076,0.13147353767014677,0.16046512452738063,adaptive_ridge,,,,,,,1,,,,members,3.0
972.4053281592967,0.0225168,0,1.0,cholesky,48,quadratic_stacked_beta,0.0222938,3.0235986348659374e-16,0.000223,5,0.601457149909978,0.27804117957708363,0.32082636835605066,adaptive_ridge,,,,,,,1,,,,members,3.0
,4.4e-5,,0.0001,,,,,,,,0.4382968009257208,0.15632588227838132,0.19311329557793666,static_ridge,,,,,,,1,,,,members,3.0
,3.89e-5,,0.001,,,,,,,,0.4377594136760681,0.15624000032533505,0.19294962278975628,static_ridge,,,,,,,1,,,,members,3.0
,3.79e-5,,0.01,,,,,,,,0.4321681970497413,0.1553434786340122,0.19138473575282403,static_ridge,,,,,,,1,,,,members,3.0
,3.57e-5,,0.1,,,,,,,,0.4134565589446646,0.15422484447546536,0.1886510904342364,static_ridge,,,,,,,1,,,,members,3.0
,3.48e-5,,1.0,,,,,,,,0.6275756307493606,0.2853060640965858,0.3291800674103076,static_ridge,,,,,,,1,,,,members,3.0
,,,,,,,,,,,0.28493746907264245,0.09872270409768986,0.12364985530772847,rls,0.0008943,0.9,1.0e-6,,,,1,,,,members,3.0
,,,,,,,,,,,0.28493746907264245,0.09872270409768986,0.12364985530772847,rls,0.0009384,0.9,0.0001,,,,1,,,,members,3.0
,,,,,,,,,,,0.2849374690726424,0.09872270409768986,0.12364985530772846,rls,0.000915,0.9,0.01,,,,1,,,,members,3.0
,,,,,,,,,,,0.28493746907264245,0.09872270409768986,0.12364985530772847,rls,0.0009319,0.9,0.1,,,,1,,,,members,3.0
,,,,,,,,,,,0.2780441579757316,0.09775998425453965,0.12098842961587904,rls,0.0010992,0.95,1.0e-6,,,,1,,,,members,3.0
,,,,,,,,,,,0.2780441579757316,0.09775998425453965,0.12098842961587904,rls,0.0010529,0.95,0.0001,,,,1,,,,members,3.0
,,,,,,,,,,,0.2780441579757316,0.09775998425453965,0.12098842961587904,rls,0.0010824,0.95,0.01,,,,1,,,,members,3.0
,,,,,,,,,,,0.2780441579757316,0.09775998425453965,0.12098842961587904,rls,0.0011309,0.95,0.1,,,,1,,,,members,3.0
,,,,,,,,,,,0.27495665154874416,0.09765922856562811,0.1204248418884332,rls,0.00111,0.98,1.0e-6,,,,1,,,,members,3.0
,,,,,,,,,,,0.27495665154874416,0.09765922856562811,0.1204248418884332,rls,0.0011134,0.98,0.0001,,,,1,,,,members,3.0
,,,,,,,,,,,0.2749566515487442,0.09765922856562811,0.12042484188843322,rls,0.0009605,0.98,0.01,,,,1,,,,members,3.0
,,,,,,,,,,,0.2749566515487442,0.09765922856562811,0.1204248418884332,rls,0.0646582,0.98,0.1,,,,1,,,,members,3.0
,,,,,,,,,,,0.27610492070332177,0.09817322943921912,0.12103595660043726,rls,0.0009083,0.99,1.0e-6,,,,1,,,,members,3.0
,,,,,,,,,,,0.27610492070332165,0.09817322943921916,0.12103595660043723,rls,0.0009113,0.99,0.0001,,,,1,,,,members,3.0
,,,,,,,,,,,0.2761049207033197,0.09817322943922292,0.12103595660043619,rls,0.001027,0.99,0.01,,,,1,,,,members,3.0
,,,,,,,,,,,0.27610492070330184,0.09817322943925741,0.1210359566004266,rls,0.0009349,0.99,0.1,,,,1,,,,members,3.0
,,,,,,,,,,,0.27877477162727937,0.0990402905422208,0.12216010051223507,rls,0.0010383,0.995,1.0e-6,,,,1,,,,members,3.0
,,,,,,,,,,,0.27877477162654174,0.09904029054305345,0.12216010051226954,rls,0.0010051,0.995,0.0001,,,,1,,,,members,3.0
,,,,,,,,,,,0.27877477155277114,0.09904029062631839,0.1221601005157172,rls,0.0010124,0.995,0.01,,,,1,,,,members,3.0
,,,,,,,,,,,0.2787747708821302,0.09904029138327229,0.12216010054706146,rls,0.0009933,0.995,0.1,,,,1,,,,members,3.0
,,,,,,,,,,,0.5603532009247035,0.19966276581999096,0.24939143783018827,hedge,0.0006774,,,0.01,0,,1,,,,members,3.0
,,,,,,,,,,,0.5599113755861423,0.19951304270998332,0.24919781574642966,hedge,0.0007001,,,0.01,24,,1,,,,members,3.0
,,,,,,,,,,,0.5598913633104472,0.19950605403573674,0.24918697095571093,hedge,0.0010096,,,0.01,72,,1,,,,members,3.0
,,,,,,,,,,,0.5599257631485187,0.1995155901498898,0.24920082055768414,hedge,0.0007778,,,0.01,168,,1,,,,members,3.0
,,,,,,,,,,,0.559937822390168,0.19952969406829463,0.24921646589386157,hedge,0.0007476,,,0.01,336,,1,,,,members,3.0
,,,,,,,,,,,0.5568894104119706,0.19855352336640084,0.24793709011826942,hedge,0.0006593,,,0.05,0,,1,,,,members,3.0
,,,,,,,,,,,0.554757380747661,0.1978129170121456,0.2469809262356025,hedge,0.0007182,,,0.05,24,,1,,,,members,3.0
,,,,,,,,,,,0.5546174901077862,0.19777471532202134,0.2469253720699328,hedge,0.0007255,,,0.05,72,,1,,,,members,3.0
,,,,,,,,,,,0.5547698896372623,0.19782120762917155,0.24699342128804494,hedge,0.0007006,,,0.05,168,,1,,,,members,3.0
,,,,,,,,,,,0.5548445428558945,0.1978915524197169,0.2470707680040311,hedge,0.0007258,,,0.05,336,,1,,,,members,3.0
,,,,,,,,,,,0.5526143600218097,0.19718029032573808,0.24614272457854808,hedge,0.0007183,,,0.1,0,,1,,,,members,3.0
,,,,,,,,,,,0.5485684649553261,0.19573623082357655,0.24426044970299662,hedge,0.0008687,,,0.1,24,,1,,,,members,3.0
,,,,,,,,,,,0.5482133571383652,0.1956491556413907,0.2441460740566556,hedge,0.0006986,,,0.1,72,,1,,,,members,3.0
,,,,,,,,,,,0.5484580406689089,0.1957315519444943,0.24427915172071327,hedge,0.0006929,,,0.1,168,,1,,,,members,3.0
,,,,,,,,,,,0.5485463216452341,0.1958666849759788,0.24443161628042395,hedge,0.0006985,,,0.1,336,,1,,,,members,3.0
,,,,,,,,,,,0.5402133126572737,0.19318540415975688,0.24091858345179015,hedge,0.000607,,,0.25,0,,1,,,,members,3.0
,,,,,,,,,,,0.530501908318884,0.18977000737771332,0.23644049610637663,hedge,0.0006886,,,0.25,24,,1,,,,members,3.0
,,,,,,,,,,,0.5296428865913805,0.18955600347291057,0.23613128683132112,hedge,0.0006686,,,0.25,72,,1,,,,members,3.0
,,,,,,,,,,,0.5303783805579735,0.1897183911859639,0.23644104983721237,hedge,0.1543019,,,0.25,168,,1,,,,members,3.0
,,,,,,,,,,,0.5306211852227384,0.19003599179018138,0.23680509255481286,hedge,0.0006976,,,0.25,336,,1,,,,members,3.0
,,,,,,,,,,,0.5213412462049035,0.1869579702579941,0.23275105076938116,hedge,0.0005616,,,0.5,0,,1,,,,members,3.0
