reference,method,metric,reps,block_length,resampling_scheme,event_count,mean_method_minus_reference,median_method_minus_reference,ci_low,ci_high,method_win_probability,reference_win_probability,dataset
adaptive_ridge,adaptive_robust_norm,rmse,2000,14,moving_blocks,0,0.0,0.0,0.0,0.0,0.0,0.0,safi
adaptive_ridge,adaptive_robust_norm,mae,2000,14,moving_blocks,0,0.0,0.0,0.0,0.0,0.0,0.0,safi
adaptive_ridge,adaptive_robust_norm,cvar_05,2000,14,moving_blocks,0,0.0,0.0,0.0,0.0,0.0,0.0,safi
adaptive_ridge,static_ridge,rmse,2000,14,moving_blocks,0,0.04517109222417541,0.04126419032600526,-0.007322177103943633,0.12207361117877163,0.0685,0.9315,safi
adaptive_ridge,static_ridge,mae,2000,14,moving_blocks,0,0.025665026516511653,0.024173402721818754,0.004496207350405265,0.055971443414105745,0.0065,0.9935,safi
adaptive_ridge,static_ridge,cvar_05,2000,14,moving_blocks,0,0.1831108595201114,0.1564959427804229,-0.08597757194760391,0.5951171145613572,0.173,0.827,safi
adaptive_ridge,rolling_ridge,rmse,2000,14,moving_blocks,0,0.022757908453846013,0.021569839655771916,-0.002580028449169061,0.05298586355076219,0.0405,0.9595,safi
adaptive_ridge,rolling_ridge,mae,2000,14,moving_blocks,0,0.01682295141871227,0.01636158392476547,0.0022599543095159534,0.03288376442904315,0.011,0.989,safi
adaptive_ridge,rolling_ridge,cvar_05,2000,14,moving_blocks,0,0.0703783625082395,0.06580583179407418,-0.04038381419710159,0.20854337354460364,0.1305,0.8695,safi
adaptive_ridge,rls,rmse,2000,14,moving_blocks,0,0.006945246066271745,0.006389940943472838,-0.01354435822546044,0.02886863338909007,0.2565,0.7435,safi
adaptive_ridge,rls,mae,2000,14,moving_blocks,0,0.009837246583452077,0.009465109095205648,-0.0029806607716164916,0.023960786367618645,0.0705,0.9295,safi
adaptive_ridge,rls,cvar_05,2000,14,moving_blocks,0,-0.005810099056828563,-0.007280977257462018,-0.08587784132586433,0.08038762392710158,0.5685,0.4315,safi
adaptive_ridge,hedge,rmse,2000,14,moving_blocks,0,0.0858286802791809,0.08071448177150414,0.023870683999431187,0.17564739417589648,0.0,1.0,safi
adaptive_ridge,hedge,mae,2000,14,moving_blocks,0,0.046789181750538665,0.04489768774314293,0.021538905115622595,0.08186136624466799,0.0,1.0,safi
adaptive_ridge,hedge,cvar_05,2000,14,moving_blocks,0,0.33083824375173665,0.298022078691915,0.018875027870435386,0.8251111907095801,0.0115,0.9885,safi
adaptive_ridge,exp3,rmse,2000,14,moving_blocks,0,0.09657285634627918,0.08894525247740681,0.005359962515785636,0.23128933709495436,0.014,0.986,safi
adaptive_ridge,exp3,mae,2000,14,moving_blocks,0,0.02765805543614578,0.02441411361139434,-0.0002018354590511459,0.07222056215982996,0.0275,0.9725,safi
adaptive_ridge,exp3,cvar_05,2000,14,moving_blocks,0,0.450662222399051,0.3979475599846243,0.01130391317276852,1.1553951648956156,0.015,0.985,safi
adaptive_ridge,fixed_share,rmse,2000,14,moving_blocks,0,0.016040579117450778,0.01340848770810904,-0.023761919643191895,0.07468509295221175,0.2865,0.7135,safi
adaptive_ridge,fixed_share,mae,2000,14,moving_blocks,0,-0.002785660087244568,-0.0036412105192781263,-0.01710960857973776,0.016702518907323775,0.677,0.323,safi
adaptive_ridge,fixed_share,cvar_05,2000,14,moving_blocks,0,0.09962017058065994,0.08370190928348664,-0.08238243754720824,0.3914692922955234,0.22,0.78,safi
adaptive_ridge,passive_aggressive,rmse,2000,14,moving_blocks,0,0.020547632112896386,0.01822829978345658,-0.014341823114741761,0.06923911140168579,0.171,0.829,safi
adaptive_ridge,passive_aggressive,mae,2000,14,moving_blocks,0,0.009168526325162726,0.008275084517668702,-0.007386895359239817,0.029780553058674775,0.164,0.836,safi
adaptive_ridge,passive_aggressive,cvar_05,2000,14,moving_blocks,0,0.11727450591128767,0.10480141544861266,-0.05805067156238579,0.36287442654213303,0.127,0.873,safi
adaptive_ridge,dma,rmse,2000,14,moving_blocks,0,0.03543075746358595,0.03472191904273292,-0.006502366394090897,0.08535313613409733,0.057,0.943,safi
adaptive_ridge,dma,mae,2000,14,moving_blocks,0,0.010241651180818817,0.009535782355235334,-0.009492839371154596,0.033995923236857364,0.201,0.799,safi
adaptive_ridge,dma,cvar_05,2000,14,moving_blocks,0,0.20413513975256684,0.1988663115010999,0.004546818804283599,0.4328249863841541,0.0235,0.9765,safi
adaptive_ridge,neural_gate,rmse,2000,14,moving_blocks,0,-0.021783041042349932,-0.021770543987136737,-0.03199818581842771,-0.011870237716704589,1.0,0.0,safi
adaptive_ridge,neural_gate,mae,2000,14,moving_blocks,0,-0.0166470572646482,-0.01650225405720293,-0.02381958111048938,-0.009611704062635682,1.0,0.0,safi
adaptive_ridge,neural_gate,cvar_05,2000,14,moving_blocks,0,-0.06490530741394283,-0.0642833176811014,-0.10969082279623767,-0.025139464911107377,0.9995,0.0005,safi
adaptive_ridge,boosted_meta,rmse,2000,14,moving_blocks,0,-0.01892597077920773,-0.018949503387882927,-0.03442213682114732,-0.0031519642779148788,0.9895,0.0105,safi
adaptive_ridge,boosted_meta,mae,2000,14,moving_blocks,0,-0.010330593766547862,-0.010252254515018017,-0.020463779808405167,0.00029207594484355787,0.97,0.03,safi
adaptive_ridge,boosted_meta,cvar_05,2000,14,moving_blocks,0,-0.07457805184456728,-0.07332058978686684,-0.14148598894243827,-0.015188267108358064,0.994,0.006,safi
adaptive_ridge,ensemble_mean,rmse,2000,14,moving_blocks,0,0.10887032219514785,0.10216989359481077,0.03009671117207082,0.22332820186677246,0.0,1.0,safi
adaptive_ridge,ensemble_mean,mae,2000,14,moving_blocks,0,0.05698909973173713,0.054692683055668656,0.028091865207570697,0.09954651479621218,0.0,1.0,safi
adaptive_ridge,ensemble_mean,cvar_05,2000,14,moving_blocks,0,0.42667676754363765,0.38275025125715945,0.027243766138161127,1.0423694089004343,0.0065,0.9935,safi
adaptive_ridge,oracle_best_member,rmse,2000,14,moving_blocks,0,0.08039095037950839,0.0723712627841338,-0.020721709567821458,0.22440743861339055,0.117,0.883,safi
adaptive_ridge,oracle_best_member,mae,2000,14,moving_blocks,0,0.010865736845527203,0.007486981511462265,-0.018037588299061387,0.05694687829180791,0.328,0.672,safi
adaptive_ridge,oracle_best_member,cvar_05,2000,14,moving_blocks,0,0.4228995718532783,0.3702778382308295,-0.05551357932841521,1.1719375659670939,0.079,0.921,safi
adaptive_ridge,validation_best_member,rmse,2000,14,moving_blocks,0,0.08039095037950839,0.0723712627841338,-0.020721709567821458,0.22440743861339055,0.117,0.883,safi
adaptive_ridge,validation_best_member,mae,2000,14,moving_blocks,0,0.010865736845527203,0.007486981511462265,-0.018037588299061387,0.05694687829180791,0.328,0.672,safi
adaptive_ridge,validation_best_member,cvar_05,2000,14,moving_blocks,0,0.4228995718532783,0.3702778382308295,-0.05551357932841521,1.1719375659670939,0.079,0.921,safi
