condition_number,fit_seconds,iterations,lambda,linear_solver,n_parameters,objective_variant,preparation_seconds,residual_norm,solve_seconds,tau,validation_cvar_05,validation_mae,validation_rmse,method,converged,convergence_reason,exact_fallback_used,relative_change,relative_objective_change,stationarity_residual,fit_and_validation_seconds,window,forgetting,ridge,eta,gamma,seed,share,C,epsilon,variance_forgetting,epochs,hidden,learning_rate,weight_decay,max_depth,min_leaf,n_trees
239000.85440498026,0.0025908999999999997,0,0.0,cholesky,42,quadratic_stacked_beta,0.0024806,8.009573144599156e-16,0.0001103,1,0.9604043385299735,0.25990764390578114,0.35174926756904373,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
238976.00822215097,0.0025802999999999998,0,1.0e-6,cholesky,42,quadratic_stacked_beta,0.0024806,1.1127192596867193e-15,9.97e-5,1,0.9604066794848458,0.2599081616805881,0.35174986234501526,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
236544.4989428919,0.0025839,0,0.0001,cholesky,42,quadratic_stacked_beta,0.0024806,1.068481541120298e-15,0.0001033,1,0.9606352935390302,0.2599592579745047,0.35180914734755225,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
216705.5587679256,0.0025884,0,0.001,cholesky,42,quadratic_stacked_beta,0.0024806,8.368949164595221e-16,0.0001078,1,0.9625836666409862,0.26044978622029014,0.35237534294073036,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
119896.00650879013,0.0025912,0,0.01,cholesky,42,quadratic_stacked_beta,0.0024806,5.651340104093789e-16,0.0001106,1,0.9744550958421521,0.2655863129381149,0.3581033760240694,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
22586.223548537575,0.0026178,0,0.1,cholesky,42,quadratic_stacked_beta,0.0024806,4.039372322023044e-16,0.0001372,1,0.9971890078180068,0.2840492000706707,0.3767787892569741,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
2672.0659115480057,0.0026684,0,1.0,cholesky,42,quadratic_stacked_beta,0.0024806,4.756807952825795e-16,0.0001878,1,0.9941877373252269,0.29164756174906514,0.3846927250936304,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
1448.2720506425642,0.0027239,0,2.0,cholesky,42,quadratic_stacked_beta,0.0024806,3.3426344319495e-16,0.0002433,1,1.033761957135176,0.3072985409574382,0.4054692238454743,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
856126.3436353058,0.0285574,0,0.0,cholesky,78,quadratic_stacked_beta,0.0282026,2.3308385991328443e-15,0.0003548,2,0.9658260369460949,0.2585948089874161,0.352526570663801,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
856028.6817812665,0.0285747,0,1.0e-6,cholesky,78,quadratic_stacked_beta,0.0282026,1.7518678681497135e-15,0.0003721,2,0.9658273055105442,0.2585955686448207,0.35252736962444003,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
