dataset,objective_variant,tau,lambda,validation_rmse,validation_mae,validation_cvar_05,fit_seconds,preparation_seconds,solve_seconds,condition_number,linear_solver,converged,iterations,residual_norm,relative_objective_change,stationarity_residual,convergence_reason,n_parameters
safi,quadratic_stacked,1,0.0,0.35174926756904373,0.25990764390578114,0.9604043385299735,0.0203452,0.0202291,0.0001161,239000.85440498026,cholesky,true,0,8.009573144599156e-16,NaN,NaN,,42
safi,quadratic_stacked,1,1.0e-6,0.35174986234501526,0.2599081616805881,0.9604066794848458,0.0203483,0.0202291,0.0001192,238976.00822215097,cholesky,true,0,1.1127192596867193e-15,NaN,NaN,,42
safi,quadratic_stacked,1,0.0001,0.35180914734755225,0.2599592579745047,0.9606352935390302,0.0203474,0.0202291,0.0001183,236544.4989428919,cholesky,true,0,1.068481541120298e-15,NaN,NaN,,42
safi,quadratic_stacked,1,0.001,0.35237534294073036,0.26044978622029014,0.9625836666409862,0.0204142,0.0202291,0.0001851,216705.5587679256,cholesky,true,0,8.368949164595221e-16,NaN,NaN,,42
safi,quadratic_stacked,1,0.01,0.3581033760240694,0.2655863129381149,0.9744550958421521,0.0203616,0.0202291,0.0001325,119896.00650879013,cholesky,true,0,5.651340104093789e-16,NaN,NaN,,42
safi,quadratic_stacked,1,0.1,0.3767787892569741,0.2840492000706707,0.9971890078180068,0.020391,0.0202291,0.0001619,22586.223548537575,cholesky,true,0,4.039372322023044e-16,NaN,NaN,,42
safi,quadratic_stacked,1,1.0,0.3846927250936304,0.29164756174906514,0.9941877373252269,0.020367,0.0202291,0.0001379,2672.0659115480057,cholesky,true,0,4.756807952825795e-16,NaN,NaN,,42
safi,quadratic_stacked,1,2.0,0.4054692238454743,0.3072985409574382,1.033761957135176,0.0205737,0.0202291,0.0003446,1448.2720506425642,cholesky,true,0,3.3426344319495e-16,NaN,NaN,,42
safi,quadratic_stacked,2,0.0,0.352526570663801,0.2585948089874161,0.9658260369460949,0.0237108,0.0233558,0.000355,856126.3436353058,cholesky,true,0,2.3308385991328443e-15,NaN,NaN,,78
safi,quadratic_stacked,2,1.0e-6,0.35252736962444003,0.2585955686448207,0.9658273055105442,0.0237131,0.0233558,0.0003573,856028.6817812665,cholesky,true,0,1.7518678681497135e-15,NaN,NaN,,78
safi,quadratic_stacked,2,0.0001,0.35260668129730255,0.25867016520015523,0.965958577706688,0.0237064,0.0233558,0.0003506,846488.2762911627,cholesky,true,0,1.7565816800070707e-15,NaN,NaN,,78
safi,quadratic_stacked,2,0.001,0.35334128339510046,0.2593774372694983,0.9672207966433801,0.0237084,0.0233558,0.0003526,769850.4154997825,cholesky,true,0,1.7303145495262741e-15,NaN,NaN,,78
safi,quadratic_stacked,2,0.01,0.3602068260773876,0.266036562101964,0.9765944656844457,0.0237296,0.0233558,0.0003738,418340.72436500294,cholesky,true,0,1.3772086887399452e-15,NaN,NaN,,78
safi,quadratic_stacked,2,0.1,0.38083734396495394,0.28626430156227595,1.002969254809876,0.0237551,0.0233558,0.0003993,79607.96675946964,cholesky,true,0,7.187384832470375e-16,NaN,NaN,,78
