regime,seed,tau,lambda,quadratic_validation_rmse,irls_norm_validation_rmse,exact_norm_validation_rmse,quadratic_vs_irls_prediction_max_abs,irls_vs_exact_prediction_max_abs,irls_vs_exact_prediction_relative_l2,quadratic_fit_seconds,irls_fit_seconds,exact_fit_seconds,quadratic_objective,irls_norm_objective,exact_norm_objective,irls_vs_exact_relative_objective,irls_iterations,irls_converged,irls_stationarity_residual,irls_relative_objective_change,irls_convergence_reason
gradual,1,1,0.001,0.16589546584830478,0.16889869237843022,0.16890054810919844,0.02333728571190319,8.395399362148837e-6,2.7045783238207806e-6,0.00048090000000000003,0.0007875,0.5398685000000001,0.005399638398607741,1.7669307504520215,1.7669307505169283,3.673417683464203e-11,2,true,1.8893587680129284e-9,1.7482980693924108e-9,strict_smoothed_stationarity
gradual,1,1,0.01,0.14613985526407658,0.1646079131463222,0.16460519851892266,0.1531336967470951,1.995756781081326e-5,4.470046505057929e-6,0.0005628,0.0015687,0.8654267999999999,0.007573308473170384,1.881367016228184,1.8813670166872567,2.4401022007856124e-10,3,true,2.8687463134493906e-8,3.82834092072537e-9,objective_and_practical_stationarity
gradual,1,1,0.1,0.1280945248097417,0.13937206926909937,0.1393791958413253,0.24895502895363386,5.7609785599543883e-5,1.5543666942692605e-5,0.0005084,0.0013874,0.8206755,0.023273231054416837,2.939086305429734,2.9390863101859717,1.61827082433253e-9,6,true,6.22848074348664e-8,1.1535720865898644e-10,objective_and_practical_stationarity
gradual,1,3,0.001,0.22247247431437225,0.2282247650965657,0.2282257836291999,0.02918109447271222,4.023870656899575e-6,1.4224745057173726e-6,0.0031333,0.0068567,2.5193132,0.004829940895716868,1.6647625165534528,1.6647625165782165,1.4875242782237135e-11,2,true,2.0292555628128766e-9,2.526386040471932e-9,strict_smoothed_stationarity
gradual,1,3,0.01,0.18877514005771523,0.22074650454267983,0.2207531900677078,0.18793297060547354,2.8176097849774706e-5,9.280481922931323e-6,0.00195,0.0329485,2.9693036,0.00706659477572104,1.7817350796139115,1.781735080655216,5.844327741901933e-10,3,true,3.464744166006548e-8,6.7063715822546994e-9,objective_and_practical_stationarity
gradual,1,3,0.1,0.15137381524195007,0.17916150147584745,0.1791600620006249,0.3264903357415725,9.80360844460293e-6,2.9713473712378213e-6,0.0019734,0.009795700000000001,3.8184340000000003,0.022823541271774876,2.856964984402947,2.8569649846567176,8.882514816932974e-11,7,true,1.4462209086264172e-8,6.626445587935359e-12,objective_and_practical_stationarity
gradual,1,5,0.001,0.23792152767257949,0.24554881604588805,0.24554820253594764,0.0355810170079367,6.841556361214529e-6,1.678987455107753e-6,0.0346724,0.011127,6.0107684,0.004249755683530663,1.5532707544518378,1.5532707545888553,8.821225021169404e-11,2,true,2.942039975901081e-9,5.928268393978836e-9,strict_smoothed_stationarity
gradual,1,5,0.01,0.1984804287483446,0.23659813561353885,0.23659528539318664,0.2078737156833501,1.473593095480119e-5,5.392850284746264e-6,0.0206001,0.0183134,7.3187287,0.006539698494778102,1.6733062211307894,1.6733062213219227,1.142249571230371e-10,4,true,1.4517133705605307e-9,1.3168696933648557e-11,strict_smoothed_stationarity
gradual,1,5,0.1,0.15639490298084613,0.18981086182793797,0.1898082837620474,0.3332809926170829,1.794149576594961e-5,5.325521475266331e-6,0.0211796,0.0266225,9.7785093,0.022318309185892525,2.7643830443669293,2.764383044904865,1.9459528918176027e-10,7,true,2.2857669504634422e-8,1.8326583633914856e-11,objective_and_practical_stationarity
gradual,2,1,0.001,0.15341736259942476,0.15394833023999946,0.15394759005092032,0.005157839417191168,6.4909924714084966e-6,2.0956155616678786e-6,0.0005179,0.0009480000000000001,0.5339668000000001,0.00971103094666329,2.3986358759692346,2.3986358760644912,3.971286028620521e-11,2,true,2.5496084317957137e-10,2.5650739356780023e-11,strict_smoothed_stationarity
