condition_number,fit_seconds,iterations,lambda,linear_solver,method,n_parameters,objective_variant,preparation_seconds,residual_norm,selection_metric,solve_seconds,tau,validation_cvar_05,validation_mae,validation_rmse,fit_and_validation_seconds,window,forgetting,ridge,epochs,hidden,learning_rate,weight_decay,max_depth,min_leaf,n_trees,regime,seed
283500.6336817909,0.0067142,0,0.001,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0058528,8.348373924264556e-16,rmse,0.0008614,1,0.17155210105030463,0.05478608179734188,0.07021296592035142,,,,,,,,,,,,gradual,1
,,,0.0,,rolling_ridge,,,,,rmse,,,0.16155319467777765,0.05283283156919656,0.06674107609315583,0.0096896,336,,,,,,,,,,gradual,1
,,,,,rls,,,,,rmse,,,0.16150723590550217,0.05263884915064551,0.06669031759701369,0.0024777,,0.995,0.1,,,,,,,,gradual,1
,2.6479034,,,,neural_gate,,,,,rmse,,3,0.16961992924092745,0.05562737748818788,0.07089095706471629,,,,,250,16,0.003,0.0001,,,,gradual,1
,4.072008,,,,boosted_meta,,,,,rmse,,1,0.20465425798178663,0.06880775372659222,0.0872210405219644,,,,,,,0.05,,2,50,100,gradual,1
116086.3239380597,0.0041697999999999995,0,0.01,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0033252,7.642635782924525e-16,rmse,0.0008446,1,0.2084305118502051,0.07445103661388705,0.09084018188398148,,,,,,,,,,,,gradual,2
,,,0.001,,rolling_ridge,,,,,rmse,,,0.19666895049730093,0.07015030925696263,0.08628222677689046,0.30861,336,,,,,,,,,,gradual,2
,,,,,rls,,,,,rmse,,,0.19611536866073895,0.06931787719731655,0.08563132795536331,0.0024159,,0.995,0.1,,,,,,,,gradual,2
,5.1582136,,,,neural_gate,,,,,rmse,,1,0.2022080068609447,0.07168649475146528,0.08860616047882923,,,,,250,16,0.001,0.0001,,,,gradual,2
,4.3291041,,,,boosted_meta,,,,,rmse,,1,0.249168202871056,0.08392285661330798,0.10548901919964915,,,,,,,0.05,,2,20,100,gradual,2
1.7500154929376687e6,0.0201607,0,0.001,cholesky,adaptive_ridge,210,quadratic_stacked_beta,0.0161862,1.064838266709788e-15,rmse,0.0039745,2,0.17706441837335304,0.056109413087857385,0.0715837854899327,,,,,,,,,,,,gradual,3
,,,0.0,,rolling_ridge,,,,,rmse,,,0.13971589350334995,0.04691095287759881,0.05876953091456878,0.0080577,336,,,,,,,,,,gradual,3
,,,,,rls,,,,,rmse,,,0.13817713013685462,0.04676836314931886,0.05869795597828911,0.0025375,,0.99,1.0e-6,,,,,,,,gradual,3
,2.1836836,,,,neural_gate,,,,,rmse,,3,0.17870020435594774,0.06107825691305948,0.07650631136651792,,,,,250,8,0.001,0.0001,,,,gradual,3
,13.6844589,,,,boosted_meta,,,,,rmse,,5,0.21522886079040027,0.0743695145282329,0.0928966226203581,,,,,,,0.05,,2,20,100,gradual,3
36061.41904731732,0.0123911,0,0.01,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.011506,7.060655881258221e-16,rmse,0.0008851,1,0.1991517935748066,0.068971042899246,0.0856267633914104,,,,,,,,,,,,gradual,4
,,,0.0001,,rolling_ridge,,,,,rmse,,,0.1741431857244811,0.06283673011552648,0.07784024939125643,0.0103148,336,,,,,,,,,,gradual,4
,,,,,rls,,,,,rmse,,,0.1729215356026235,0.06225860870364822,0.07737202808024217,0.0089857,,0.995,0.1,,,,,,,,gradual,4
,2.3359001,,,,neural_gate,,,,,rmse,,3,0.180440821225697,0.06541054106795482,0.08053345882325862,,,,,250,16,0.003,0.0001,,,,gradual,4
,4.0206221,,,,boosted_meta,,,,,rmse,,1,0.21417744870968916,0.07688646884430642,0.09542045560357416,,,,,,,0.05,,2,50,100,gradual,4
1.750319290593472e6,0.0046803,0,0.001,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0037239,6.35734145270199e-16,rmse,0.0009564,1,0.13430003191090742,0.04751501303085476,0.058851344090325594,,,,,,,,,,,,gradual,5
,,,0.0001,,rolling_ridge,,,,,rmse,,,0.12383473559232472,0.04369073632685461,0.05441689131607463,0.0032672,336,,,,,,,,,,gradual,5
,,,,,rls,,,,,rmse,,,0.12241492103948587,0.043275525656496075,0.05385930552950398,0.0259965,,0.995,0.1,,,,,,,,gradual,5
,2.7322731,,,,neural_gate,,,,,rmse,,3,0.1406644807251619,0.048157735595343046,0.05983537180349592,,,,,250,16,0.003,0.0001,,,,gradual,5
,18.0139271,,,,boosted_meta,,,,,rmse,,5,0.15348738416061225,0.05350157510727554,0.06658827939268334,,,,,,,0.05,,2,20,100,gradual,5
68589.02966015009,0.011270599999999999,0,0.01,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0102668,6.313683098972226e-16,rmse,0.0010038,1,0.31640316556046966,0.10361658836353002,0.13128396756671307,,,,,,,,,,,,gradual,6
,,,0.001,,rolling_ridge,,,,,rmse,,,0.2791905761401663,0.09352869265186715,0.11803806865696949,0.0072292,72,,,,,,,,,,gradual,6
,,,,,rls,,,,,rmse,,,0.2749522364531735,0.09078327005414942,0.11561695524508236,0.0026991,,0.98,1.0e-6,,,,,,,,gradual,6
,1.6247568,,,,neural_gate,,,,,rmse,,1,0.309004980362151,0.10101845694104565,0.12775343910251638,,,,,250,16,0.003,0.0001,,,,gradual,6
,21.9091914,,,,boosted_meta,,,,,rmse,,5,0.3533000783567261,0.12283929931342519,0.15344030015983398,,,,,,,0.05,,2,50,100,gradual,6
8563.377133707208,0.0106437,0,0.01,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0097362,7.276571913343998e-16,rmse,0.0009075,1,0.23724902211378332,0.08033092945850413,0.10114700090210328,,,,,,,,,,,,gradual,7
,,,0.0,,rolling_ridge,,,,,rmse,,,0.23373393264111805,0.07828808235030607,0.09880407571570116,0.0132865,336,,,,,,,,,,gradual,7
,,,,,rls,,,,,rmse,,,0.23255223630273522,0.07718158146223414,0.09752879925351786,0.0029403,,0.995,0.1,,,,,,,,gradual,7
,1.953171,,,,neural_gate,,,,,rmse,,1,0.24084409709274063,0.07983627298763356,0.10039148290642613,,,,,250,16,0.001,0.0001,,,,gradual,7
,4.0344347,,,,boosted_meta,,,,,rmse,,1,0.2883453607112599,0.09691043156879314,0.12258174925379933,,,,,,,0.05,,2,50,100,gradual,7
97800.3699857891,0.0179566,0,0.001,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0104591,6.905038414239346e-16,rmse,0.0074975,1,0.17547158208514824,0.06046329960882548,0.07549426867806222,,,,,,,,,,,,gradual,8
,,,0.0,,rolling_ridge,,,,,rmse,,,0.1626198189759313,0.05784108149521064,0.0714917924856418,0.0103262,336,,,,,,,,,,gradual,8
,,,,,rls,,,,,rmse,,,0.16168619099894282,0.05696196859295,0.07045760356580263,0.0229196,,0.995,0.1,,,,,,,,gradual,8
,1.469567,,,,neural_gate,,,,,rmse,,1,0.17028685458984888,0.05924006392143474,0.07383491068069584,,,,,250,16,0.001,0.0001,,,,gradual,8
,4.2696921,,,,boosted_meta,,,,,rmse,,1,0.19817424383781407,0.06706673809784432,0.08404177694139289,,,,,,,0.05,,2,50,100,gradual,8
4615.159873547695,0.012333,0,0.1,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0114796,7.413583869354331e-16,rmse,0.0008534,1,0.24633464383772893,0.08867915389972474,0.1095391745177521,,,,,,,,,,,,gradual,9
,,,0.0,,rolling_ridge,,,,,rmse,,,0.24191839059357698,0.08490284324427821,0.10619866195947555,0.0088517,336,,,,,,,,,,gradual,9
,,,,,rls,,,,,rmse,,,0.23933341236054306,0.083710269352733,0.10472581608704097,0.0160008,,0.995,0.1,,,,,,,,gradual,9
,1.0964047,,,,neural_gate,,,,,rmse,,1,0.26804793693801315,0.09167883337344915,0.11446813845079437,,,,,250,8,0.003,0.0001,,,,gradual,9
,14.7791198,,,,boosted_meta,,,,,rmse,,5,0.3200030749265126,0.10254716146863636,0.12983227787987425,,,,,,,0.05,,2,50,100,gradual,9
57325.56600679523,0.0172965,0,0.01,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0101865,6.781326732071404e-16,rmse,0.00711,1,0.17140868061960973,0.058000210608184916,0.07231945361745867,,,,,,,,,,,,gradual,10
,,,0.001,,rolling_ridge,,,,,rmse,,,0.16369735096375848,0.05629578933855478,0.07032777010978757,0.0028211,336,,,,,,,,,,gradual,10
,,,,,rls,,,,,rmse,,,0.1611164940927139,0.055650546282209085,0.06954589861715472,0.0024693,,0.995,0.1,,,,,,,,gradual,10
,1.2998411,,,,neural_gate,,,,,rmse,,1,0.16818586965270396,0.056435790364867795,0.07057631507043197,,,,,250,16,0.003,0.0001,,,,gradual,10
,16.7727844,,,,boosted_meta,,,,,rmse,,5,0.2183854904581556,0.08022805480732607,0.09827231189029474,,,,,,,0.05,,2,20,100,gradual,10
30271.357861921908,0.0064087,0,0.01,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.005131,7.644444344592333e-16,rmse,0.0012777,1,0.22560849610669742,0.07630466212126437,0.09589953294537773,,,,,,,,,,,,gradual,11
,,,0.001,,rolling_ridge,,,,,rmse,,,0.22254271303671197,0.07558288924017686,0.09424964434947808,0.0026865,336,,,,,,,,,,gradual,11
,,,,,rls,,,,,rmse,,,0.21706248278219722,0.07409498927407977,0.09209859963069383,0.0023828,,0.995,0.1,,,,,,,,gradual,11
,0.9116382,,,,neural_gate,,,,,rmse,,1,0.2250541365492942,0.07479062156237637,0.09491841905368767,,,,,250,8,0.001,0.0001,,,,gradual,11
,15.1082783,,,,boosted_meta,,,,,rmse,,5,0.2753386644537822,0.09486655462193679,0.11787314774057622,,,,,,,0.05,,2,20,100,gradual,11
22522.535401496167,0.0113445,0,0.01,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0104831,7.383689034205686e-16,rmse,0.0008614,1,0.2149440311765241,0.07142747382066444,0.09047681717242098,,,,,,,,,,,,gradual,12
,,,0.0,,rolling_ridge,,,,,rmse,,,0.20624403537972497,0.0683210201636537,0.08647218756072052,0.0080262,336,,,,,,,,,,gradual,12
,,,,,rls,,,,,rmse,,,0.20421209181121427,0.06734019825274942,0.08546526557091173,0.0071363,,0.995,0.1,,,,,,,,gradual,12
,1.6808806,,,,neural_gate,,,,,rmse,,1,0.2156268148158425,0.07121714163550344,0.09050373890007284,,,,,250,16,0.001,0.0001,,,,gradual,12
,11.3118514,,,,boosted_meta,,,,,rmse,,1,0.2426078370967106,0.08153919124355254,0.10282678281689452,,,,,,,0.05,,2,20,100,gradual,12
165119.53801605845,0.0043645,0,0.01,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0034535,7.405704982314126e-16,rmse,0.000911,1,0.18490814899854768,0.06233103891817019,0.07859302236601157,,,,,,,,,,,,gradual,13
,,,0.0,,rolling_ridge,,,,,rmse,,,0.17774921782717418,0.05932438156581735,0.07459314558134363,0.0028317,336,,,,,,,,,,gradual,13
,,,,,rls,,,,,rmse,,,0.17613808726395244,0.058221131057297044,0.07321858826997549,0.0029079,,0.995,0.1,,,,,,,,gradual,13
,1.0074195,,,,neural_gate,,,,,rmse,,1,0.18607864642513067,0.061444278537914974,0.07754999690109395,,,,,250,8,0.001,0.0001,,,,gradual,13
,16.2109571,,,,boosted_meta,,,,,rmse,,5,0.23446017546959272,0.07961222995207862,0.09902765886630024,,,,,,,0.05,,2,20,100,gradual,13
7044.488596632861,0.0051492,0,0.1,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0040628,5.461321676515169e-16,rmse,0.0010864,1,0.313087127242644,0.10970818625754077,0.13707513251360665,,,,,,,,,,,,gradual,14
,,,0.01,,rolling_ridge,,,,,rmse,,,0.30278712289709264,0.09982026449176838,0.126290728038319,0.0093952,72,,,,,,,,,,gradual,14
,,,,,rls,,,,,rmse,,,0.3001260397225624,0.09652742617389634,0.12305286414579988,0.0024984,,0.98,0.01,,,,,,,,gradual,14
,1.0241892,,,,neural_gate,,,,,rmse,,1,0.32199702985139433,0.10816131914298714,0.13590973882658575,,,,,250,8,0.001,0.0001,,,,gradual,14
,5.0232735,,,,boosted_meta,,,,,rmse,,1,0.3340348628597068,0.11128635140880401,0.14188739704219253,,,,,,,0.05,,2,50,100,gradual,14
17631.562940545093,0.012102,0,0.1,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0110615,7.964629152901884e-16,rmse,0.0010405,1,0.3190794277178491,0.10959731126116089,0.13688581937969982,,,,,,,,,,,,gradual,15
,,,0.1,,rolling_ridge,,,,,rmse,,,0.3153305703560429,0.09975228689902411,0.12803563863313056,0.00821,24,,,,,,,,,,gradual,15
,,,,,rls,,,,,rmse,,,0.309642591217505,0.10181413990510127,0.128535385045568,0.0024729,,0.98,1.0e-6,,,,,,,,gradual,15
,1.4048458,,,,neural_gate,,,,,rmse,,1,0.3406671939237229,0.11910462365149421,0.14854246091267495,,,,,250,16,0.001,0.0001,,,,gradual,15
,17.2448314,,,,boosted_meta,,,,,rmse,,5,0.29947052773186444,0.1010380579379876,0.12697656814065839,,,,,,,0.05,,2,20,100,gradual,15
96465.27355943015,0.0267582,0,0.01,cholesky,adaptive_ridge,210,quadratic_stacked_beta,0.0166006,1.2105536314778655e-15,rmse,0.0101576,2,0.20077322332770892,0.06979365260104702,0.08731993877349256,,,,,,,,,,,,gradual,16
,,,0.001,,rolling_ridge,,,,,rmse,,,0.19358843656007546,0.06705409808905848,0.08371954324879012,0.0027507,336,,,,,,,,,,gradual,16
,,,,,rls,,,,,rmse,,,0.19163869834879216,0.06650715406389777,0.083214369035415,0.0067816,,0.995,0.1,,,,,,,,gradual,16
,2.0400102,,,,neural_gate,,,,,rmse,,3,0.19716512055025398,0.06806206104969435,0.08567851829970333,,,,,250,16,0.001,0.0001,,,,gradual,16
,14.7090733,,,,boosted_meta,,,,,rmse,,5,0.25505125931496253,0.08820653975774914,0.11015571818134368,,,,,,,0.05,,2,20,100,gradual,16
149771.14908388778,0.011710700000000001,0,0.01,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0033675,8.755113465090672e-16,rmse,0.0083432,1,0.1895158818975891,0.06418029740319743,0.08136916403693778,,,,,,,,,,,,gradual,17
,,,0.001,,rolling_ridge,,,,,rmse,,,0.18075756564519807,0.061223623836229715,0.0767641495137963,0.0146358,72,,,,,,,,,,gradual,17
,,,,,rls,,,,,rmse,,,0.18164630561458048,0.0600435607693447,0.07570163391033578,0.0094175,,0.995,1.0e-6,,,,,,,,gradual,17
,6.059784,,,,neural_gate,,,,,rmse,,3,0.1909354132886817,0.06454230640042691,0.0814021378878837,,,,,250,8,0.003,0.0001,,,,gradual,17
,4.643508,,,,boosted_meta,,,,,rmse,,1,0.2167451228042745,0.07366139449590457,0.09266075509677114,,,,,,,0.05,,2,50,100,gradual,17
254156.5204905928,0.0052488,0,0.001,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0037252,8.827254228293375e-16,rmse,0.0015236,1,0.16602552170980264,0.0579747599271997,0.07202340765900384,,,,,,,,,,,,gradual,18
,,,0.001,,rolling_ridge,,,,,rmse,,,0.15984838471098256,0.05624411404531173,0.06936966518562232,0.0028616,336,,,,,,,,,,gradual,18
,,,,,rls,,,,,rmse,,,0.15719326372217407,0.055833329452598016,0.06874819376740263,0.0087885,,0.995,0.1,,,,,,,,gradual,18
,2.6020777,,,,neural_gate,,,,,rmse,,3,0.15974489747484164,0.0568336445871272,0.07015853806244075,,,,,250,8,0.001,0.0001,,,,gradual,18
,5.2922673,,,,boosted_meta,,,,,rmse,,1,0.1840386591526501,0.06665852798652126,0.08203314208167196,,,,,,,0.05,,2,50,100,gradual,18
