condition_number,fit_seconds,iterations,lambda,linear_solver,n_parameters,objective_variant,preparation_seconds,residual_norm,solve_seconds,tau,validation_cvar_05,validation_mae,validation_rmse,method,fit_and_validation_seconds,window,forgetting,ridge,epochs,hidden,learning_rate,weight_decay,max_depth,min_leaf,n_trees,regime,seed
312144.2079340863,0.0067039000000000005,0,0.0,cholesky,110,quadratic_stacked_beta,0.0058528,9.792810599907417e-16,0.0008511,1,0.1718916574212401,0.05485940336478005,0.07036370577603625,adaptive_ridge,,,,,,,,,,,,gradual,1
312112.3361296989,0.0066956,0,1.0e-6,cholesky,110,quadratic_stacked_beta,0.0058528,6.635319090711914e-16,0.0008428,1,0.17189034014393237,0.05485904923716754,0.07036323283775914,adaptive_ridge,,,,,,,,,,,,gradual,1
308992.69183492946,0.0066853,0,0.0001,cholesky,110,quadratic_stacked_beta,0.0058528,9.514261951616069e-16,0.0008325,1,0.17176326776587927,0.05483069775971351,0.0703207959580845,adaptive_ridge,,,,,,,,,,,,gradual,1
283500.6336817909,0.0067142,0,0.001,cholesky,110,quadratic_stacked_beta,0.0058528,8.348373924264556e-16,0.0008614,1,0.17155210105030463,0.05478608179734188,0.07021296592035142,adaptive_ridge,,,,,,,,,,,,gradual,1
158199.5812145011,0.0067205,0,0.01,cholesky,110,quadratic_stacked_beta,0.0058528,6.167116856571365e-16,0.0008677,1,0.17587176158786072,0.0569600952601413,0.0725843089230804,adaptive_ridge,,,,,,,,,,,,gradual,1
30278.000775870572,0.006873,0,0.1,cholesky,110,quadratic_stacked_beta,0.0058528,7.727171350988746e-16,0.0010202,1,0.20666678349080633,0.06850852541468479,0.08674845049641133,adaptive_ridge,,,,,,,,,,,,gradual,1
3898.1503895913984,0.0068183,0,1.0,cholesky,110,quadratic_stacked_beta,0.0058528,7.725028146669009e-16,0.0009655,1,0.34304958672350255,0.13505446496459697,0.16394353986031154,adaptive_ridge,,,,,,,,,,,,gradual,1
2276.701687056197,0.0070191,0,2.0,cholesky,110,quadratic_stacked_beta,0.0058528,7.320180609376647e-16,0.0011663,1,0.45404131304972173,0.20703964504609457,0.2406654592758836,adaptive_ridge,,,,,,,,,,,,gradual,1
602269.5719666401,0.0170873,0,0.0,cholesky,210,quadratic_stacked_beta,0.0120994,1.0667297878309247e-15,0.0049879,2,0.1758280735190939,0.056762632125025095,0.07234217427423512,adaptive_ridge,,,,,,,,,,,,gradual,1
602208.6951751049,0.0160992,0,1.0e-6,cholesky,210,quadratic_stacked_beta,0.0120994,1.4328300202403449e-15,0.0039998,2,0.17582842959411404,0.05676231144199595,0.0723418320317776,adaptive_ridge,,,,,,,,,,,,gradual,1
596249.9189204973,0.016094400000000002,0,0.0001,cholesky,210,quadratic_stacked_beta,0.0120994,1.1581037052485578e-15,0.003995,2,0.17586313256749128,0.05674529306702834,0.07231343583000643,adaptive_ridge,,,,,,,,,,,,gradual,1
