condition_number,fit_seconds,iterations,lambda,linear_solver,method,n_parameters,objective_variant,preparation_seconds,residual_norm,selection_metric,solve_seconds,tau,validation_cvar_05,validation_mae,validation_rmse,fit_and_validation_seconds,window,forgetting,ridge,eta,gamma,seed,share,C,epsilon,variance_forgetting,regime
2.7248011524739957e9,0.0058101,0,1.0e-6,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0047838,9.40085689302147e-16,rmse,0.0010263,1,0.03928602527909732,0.013590485658600068,0.017020327182673323,,,,,,,1,,,,,stationary
,0.0001039,,0.0,,static_ridge,,,,,rmse,,,0.038090386689552905,0.013162161094675873,0.016515398976097443,,,,,,,1,,,,,stationary
,,,1.0e-6,,rolling_ridge,,,,,rmse,,,0.038747238515729296,0.013470598939058089,0.016881617637471816,0.0104685,336,,,,,1,,,,,stationary
,,,,,rls,,,,,rmse,,,0.03846516857108776,0.013395030238240822,0.01676821154868534,0.0050144,,0.995,0.1,,,1,,,,,stationary
,,,,,hedge,,,,,rmse,,,0.21434203332349788,0.07549121420749691,0.09439008786759281,0.0018645,336,,,1.0,,1,,,,,stationary
,,,,,exp3,,,,,rmse,,,0.5575071194308727,0.16775175670334802,0.2079897583408115,0.0011497,,,,,0.1,1,,,,,stationary
,,,,,fixed_share,,,,,rmse,,,0.15271597793017175,0.05134701864068474,0.06474229487279187,0.0010335,,,,0.05,,1,0.01,,,,stationary
,,,,,passive_aggressive,,,,,rmse,,,0.05315769956949863,0.0175035330472459,0.022054901199857306,0.0001828,,,,,,1,,1.0,0.01,,stationary
,,,,,dma,,,,,rmse,,,0.26170594062073077,0.12326395899325038,0.13917918733511028,0.0022808,,0.9,,,,1,,,,0.95,stationary
5.3096531188198484e7,0.0040952,0,0.0,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.003229,1.0969983084254103e-15,rmse,0.0008662,1,0.03926666382709948,0.013495987026868508,0.016914257949356092,,,,,,,2,,,,,stationary
,9.61e-5,,0.0,,static_ridge,,,,,rmse,,,0.03920236224912568,0.013166948046235409,0.016582102472209787,,,,,,,2,,,,,stationary
,,,0.0,,rolling_ridge,,,,,rmse,,,0.039456742277136636,0.013476584029742616,0.01684992848322273,0.0033991,336,,,,,2,,,,,stationary
,,,,,rls,,,,,rmse,,,0.0395746819570085,0.013370370052639764,0.0167648042000714,0.0079642,,0.995,0.1,,,2,,,,,stationary
,,,,,hedge,,,,,rmse,,,0.2401629207793491,0.09164694702113495,0.11077749994893117,0.000985,72,,,0.01,,2,,,,,stationary
,,,,,exp3,,,,,rmse,,,0.6406748676236085,0.24527023458113406,0.2922519873081426,0.0068215,,,,,0.1,2,,,,,stationary
,,,,,fixed_share,,,,,rmse,,,0.24149569285825165,0.0924549502050424,0.11161990162891697,0.0061708,,,,0.01,,2,0.1,,,,stationary
,,,,,passive_aggressive,,,,,rmse,,,0.05092665188122268,0.016768454796291472,0.021285115027725038,0.0001908,,,,,,2,,0.1,0.01,,stationary
,,,,,dma,,,,,rmse,,,0.49231547773071016,0.21671161908433234,0.2497735520010243,0.0017323,,0.9,,,,2,,,,0.98,stationary
2.3856572177048326e8,0.0069023,0,0.0,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0060183,7.877402034183398e-16,rmse,0.000884,1,0.1033265816373078,0.03507264220650655,0.043710105219114254,,,,,,,3,,,,,stationary
,0.0002176,,0.0,,static_ridge,,,,,rmse,,,0.10163602483960986,0.033899590058368984,0.04228371371906471,,,,,,,3,,,,,stationary
,,,0.0001,,rolling_ridge,,,,,rmse,,,0.10130430598891546,0.03252932282321659,0.04134428223980259,0.0041755,72,,,,,3,,,,,stationary
,,,,,rls,,,,,rmse,,,0.09763904311794537,0.030171989151654838,0.039052599009560506,0.0034078,,0.95,0.1,,,3,,,,,stationary
,,,,,hedge,,,,,rmse,,,0.2000463196126883,0.06737842529344358,0.0846275055913582,0.0007565,0,,,1.0,,3,,,,,stationary
,,,,,exp3,,,,,rmse,,,0.622740730594264,0.16979827333202877,0.2188347309101124,0.0011546,,,,,0.1,3,,,,,stationary
,,,,,fixed_share,,,,,rmse,,,0.1607002796278971,0.05318173018647116,0.06694390601279061,0.0011134,,,,0.05,,3,0.01,,,,stationary
,,,,,passive_aggressive,,,,,rmse,,,0.1179897476853622,0.036317746575218815,0.046738446568738386,0.0001487,,,,,,3,,0.01,0.01,,stationary
,,,,,dma,,,,,rmse,,,0.26143846175773316,0.10535041677821426,0.12533039529080628,0.001524,,0.98,,,,3,,,,0.995,stationary
2.549081825081087e7,0.0045961,0,0.0001,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0036436,5.963614997259699e-16,rmse,0.0009525,1,0.06579138065515801,0.02297304768314508,0.028581711301033364,,,,,,,4,,,,,stationary
,8.3e-5,,0.0001,,static_ridge,,,,,rmse,,,0.06462582244790908,0.022597407071113643,0.02805119483212792,,,,,,,4,,,,,stationary
,,,0.0001,,rolling_ridge,,,,,rmse,,,0.06564672521133377,0.022456260353965633,0.028384249609989032,0.0036637,72,,,,,4,,,,,stationary
,,,,,rls,,,,,rmse,,,0.06647501673390138,0.021664576229537935,0.02779168962171721,0.0094359,,0.95,0.0001,,,4,,,,,stationary
,,,,,hedge,,,,,rmse,,,0.16221150626972086,0.05481228256896649,0.06883877255054663,0.006518,72,,,1.0,,4,,,,,stationary
,,,,,exp3,,,,,rmse,,,0.5021247370698544,0.17493993732300958,0.20668481277699313,0.0011467,,,,,0.1,4,,,,,stationary
,,,,,fixed_share,,,,,rmse,,,0.10964373818324859,0.03907537784236327,0.04822575302226954,0.0010728,,,,0.1,,4,0.005,,,,stationary
,,,,,passive_aggressive,,,,,rmse,,,0.09260431941909424,0.029160655011018638,0.03754978898319592,0.0001837,,,,,,4,,0.1,0.01,,stationary
,,,,,dma,,,,,rmse,,,0.17511606719363357,0.06678530530380383,0.0807164529455241,0.0023718,,0.9,,,,4,,,,0.995,stationary
4.729776059364949e8,0.0042626,0,1.0e-6,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0034432,8.311335168329405e-16,rmse,0.0008194,1,0.017917916423123802,0.00612751943241077,0.007684520665352955,,,,,,,5,,,,,stationary
,0.0001294,,1.0e-6,,static_ridge,,,,,rmse,,,0.017696488946914325,0.005955721653161193,0.0075056703283511265,,,,,,,5,,,,,stationary
,,,0.0,,rolling_ridge,,,,,rmse,,,0.01826041503696375,0.006082608477220489,0.0076718093351884325,0.0037358,336,,,,,5,,,,,stationary
,,,,,rls,,,,,rmse,,,0.017996880685324033,0.005980031693845133,0.007564137892430095,0.0046534,,0.995,0.1,,,5,,,,,stationary
,,,,,hedge,,,,,rmse,,,0.1708523307818318,0.05944876179979084,0.07428702933239488,0.0072355,0,,,1.0,,5,,,,,stationary
,,,,,exp3,,,,,rmse,,,0.4680682173936886,0.10003734509808922,0.14715457323043885,0.0010252,,,,,0.1,5,,,,,stationary
,,,,,fixed_share,,,,,rmse,,,0.054679678223190455,0.04597697122362827,0.046171724015605334,0.0019671,,,,1.0,,5,0.005,,,,stationary
,,,,,passive_aggressive,,,,,rmse,,,0.05182035895292211,0.016943728631386254,0.021588872942955452,0.0001696,,,,,,5,,1.0,0.0,,stationary
,,,,,dma,,,,,rmse,,,0.05378762245016298,0.0458580694007657,0.04600586022515427,0.0023983,,0.995,,,,5,,,,0.995,stationary
1.0566128467200692e8,0.0260705,0,0.0,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0246016,6.952498147103233e-16,rmse,0.0014689,1,0.010726935843462538,0.0037298720230455385,0.004660612029016859,,,,,,,6,,,,,stationary
,9.74e-5,,0.0,,static_ridge,,,,,rmse,,,0.010575673967623956,0.0036162708783456557,0.004538578647832176,,,,,,,6,,,,,stationary
,,,0.0,,rolling_ridge,,,,,rmse,,,0.010661266752561354,0.0036570611793373766,0.004574015051994853,0.007829,336,,,,,6,,,,,stationary
,,,,,rls,,,,,rmse,,,0.010671484438187627,0.003666407681614252,0.004581089303346255,0.0025617,,0.995,1.0e-6,,,6,,,,,stationary
,,,,,hedge,,,,,rmse,,,0.24811264693860505,0.0865627043852387,0.10834545918643626,0.0055289,0,,,1.0,,6,,,,,stationary
,,,,,exp3,,,,,rmse,,,0.5781160728407033,0.09325006521997188,0.1616541491276866,0.0009953,,,,,0.1,6,,,,,stationary
,,,,,fixed_share,,,,,rmse,,,0.07735739800518669,0.02950696314369984,0.03575787784394224,0.0009213,,,,0.1,,6,0.005,,,,stationary
,,,,,passive_aggressive,,,,,rmse,,,0.022402944158668173,0.006749983645086662,0.008789705215482385,0.0001803,,,,,,6,,1.0,0.0,,stationary
,,,,,dma,,,,,rmse,,,0.05702774502481111,0.049127096062645474,0.049286381857715375,0.0015645,,0.9,,,,6,,,,0.9,stationary
15355.18375926465,0.0051008,0,0.01,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.003463,6.391320217330162e-16,rmse,0.0016378,1,0.16610297162620263,0.05636030364574231,0.07098492180181547,,,,,,,7,,,,,stationary
,9.1e-5,,0.001,,static_ridge,,,,,rmse,,,0.16304202089157244,0.05510233235931895,0.06932990210591329,,,,,,,7,,,,,stationary
,,,0.001,,rolling_ridge,,,,,rmse,,,0.1675296594121928,0.05605873042499758,0.07077111843810029,0.0103614,336,,,,,7,,,,,stationary
,,,,,rls,,,,,rmse,,,0.16582184469765177,0.05573697384541867,0.0702150165069192,0.0027447,,0.995,1.0e-6,,,7,,,,,stationary
,,,,,hedge,,,,,rmse,,,0.20217316856105733,0.06939135837726693,0.08705486525585161,0.0007326,0,,,1.0,,7,,,,,stationary
,,,,,exp3,,,,,rmse,,,0.6828597316389932,0.24787354565496067,0.30063632206125956,0.0010875,,,,,0.1,7,,,,,stationary
,,,,,fixed_share,,,,,rmse,,,0.20160882187386317,0.068213732142117,0.08555444879139058,0.0014323,,,,0.01,,7,0.005,,,,stationary
,,,,,passive_aggressive,,,,,rmse,,,0.1691544591489197,0.056542309696571015,0.07139265570992036,0.0001901,,,,,,7,,0.001,0.05,,stationary
,,,,,dma,,,,,rmse,,,0.4089993749700658,0.17268900023594985,0.20251405442238077,0.0014497,,0.9,,,,7,,,,0.995,stationary
845297.3593823552,0.0041153,0,0.0001,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0032871,7.820920402463225e-16,rmse,0.0008282,1,0.08521443703022151,0.029086432218865782,0.03638938031792793,,,,,,,8,,,,,stationary
,9.08e-5,,0.0001,,static_ridge,,,,,rmse,,,0.08293667861467732,0.028801941746641895,0.03592951256499522,,,,,,,8,,,,,stationary
,,,0.0,,rolling_ridge,,,,,rmse,,,0.08561099797961116,0.02932519735124866,0.03671039094229331,0.0027592,336,,,,,8,,,,,stationary
,,,,,rls,,,,,rmse,,,0.08443750396639178,0.029108306317339804,0.03638950166329774,0.0026238,,0.995,0.1,,,8,,,,,stationary
,,,,,hedge,,,,,rmse,,,0.18598307263466526,0.06070246365102925,0.07695738156606158,0.0007879,0,,,1.0,,8,,,,,stationary
,,,,,exp3,,,,,rmse,,,0.48938279673000307,0.14650191063117077,0.18810115353294196,0.001198,,,,,0.1,8,,,,,stationary
,,,,,fixed_share,,,,,rmse,,,0.15587694174548297,0.0515736722568618,0.06501217848180117,0.0010432,,,,0.05,,8,0.01,,,,stationary
,,,,,passive_aggressive,,,,,rmse,,,0.0893756688552046,0.03150554484809149,0.03924689266381534,0.0001858,,,,,,8,,0.001,0.01,,stationary
,,,,,dma,,,,,rmse,,,0.26215185308756744,0.09911893017529079,0.11973805676507321,0.0014368,,0.9,,,,8,,,,0.995,stationary
1.0188312942603366e6,0.0184862,0,0.0001,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0176443,8.244080544924966e-16,rmse,0.0008419,1,0.08837026351930274,0.029877449808038598,0.037643874593058416,,,,,,,9,,,,,stationary
,9.16e-5,,0.0001,,static_ridge,,,,,rmse,,,0.08452257124778419,0.02852598691427211,0.036298590733057114,,,,,,,9,,,,,stationary
,,,0.0001,,rolling_ridge,,,,,rmse,,,0.08722892985006878,0.029118943670004786,0.03679078723588976,0.0077438,336,,,,,9,,,,,stationary
,,,,,rls,,,,,rmse,,,0.08651337483863669,0.028944780791176534,0.036558530477066566,0.0025926,,0.995,0.1,,,9,,,,,stationary
,,,,,hedge,,,,,rmse,,,0.2526736993665663,0.10116638102065235,0.12089193491444715,0.0070249,0,,,1.0,,9,,,,,stationary
,,,,,exp3,,,,,rmse,,,0.5524650429547581,0.16902706064146905,0.209833044952579,0.0012667,,,,,0.1,9,,,,,stationary
,,,,,fixed_share,,,,,rmse,,,0.19047045242371918,0.08746675922547666,0.10019809910434437,0.0072311,,,,0.05,,9,0.005,,,,stationary
,,,,,passive_aggressive,,,,,rmse,,,0.10737122051407264,0.0360624258347537,0.045360101538474695,0.0001587,,,,,,9,,0.1,0.05,,stationary
,,,,,dma,,,,,rmse,,,0.20341914462804028,0.12093327441812124,0.12772977869222038,0.0014513,,0.9,,,,9,,,,0.995,stationary
297800.69230836694,0.0102722,0,0.0001,cholesky,adaptive_ridge,110,quadratic_stacked_beta,0.0093831,7.8055617216629715e-16,rmse,0.0008891,1,0.1259478630662603,0.04351406494187156,0.05409494149733959,,,,,,,10,,,,,stationary
,6.22e-5,,0.0,,static_ridge,,,,,rmse,,,0.12371231939154345,0.041971808418109866,0.05261232718467224,,,,,,,10,,,,,stationary
,,,0.0001,,rolling_ridge,,,,,rmse,,,0.12923850451517688,0.042694180115667675,0.05382415746018087,0.0040908,336,,,,,10,,,,,stationary
,,,,,rls,,,,,rmse,,,0.12658726724675165,0.042195015812288045,0.053099786025039,0.0110451,,0.995,1.0e-6,,,10,,,,,stationary
,,,,,hedge,,,,,rmse,,,0.22474725873225215,0.07680603792088803,0.09696114012383937,0.0016647,168,,,0.01,,10,,,,,stationary
