relative_path,status,old_sha256,new_sha256,reason
publication_artifacts_synthetic_safi_20260730_203420/,removed_directory,,,bulky failed run excluded; evidence snapshot preserved and guarded migration reuses the user archived source output
.gitignore,modified,45055bf60ba697ec34130a3a040f998e13061ea59f4ed7bddf8471cc141ba8b4,4695c66f7ad24e5e748bf110d932099a392f9f8e03060349ef4cd7411c4cf936,"stress setting conversion, migration/launcher recovery, tests, documentation, or report update"
AGENTS.md,modified,77ab32d01e30eea1291493b4865ac90f11a62f223147b04a63c25a01ca7793e0,621bea551d56876c6752e831b520901c94f0ac26fd90aec060113eeebda2a8fc,"stress setting conversion, migration/launcher recovery, tests, documentation, or report update"
CHANGELOG_JULIA_PUBLICATION.md,modified,431d244d33e26fd7a42e4ea5cf476901e08a996a69afe6d72e2809ec5a0aa09a,9617312850947d1d33ef33deb9363532a2a3edf2de066e636863e35d25c7f42d,"stress setting conversion, migration/launcher recovery, tests, documentation, or report update"
CODEX_DETACHED_RUNBOOK.md,modified,dfab8261ec85af020e7e29cb0e57d497bcf1f5c9f3209eb8a066a455b7e3ee27,d5830391547dd8d91778a1d70daa9d82a720d082157370257986e90c8665ce40,"stress setting conversion, migration/launcher recovery, tests, documentation, or report update"
JULIA_PUBLICATION_RUNBOOK.md,modified,2358c44a3243a9e9f4e208b44cf6cd8f1077acb0d137064138097593d1f63c42,ccf9b3d27b90704e70107102d20177337af6068e6f118db6464fcf69a158de3e,"stress setting conversion, migration/launcher recovery, tests, documentation, or report update"
README.md,modified,6514e741110a608863bad3aff3d7a347f1edb3819c1880cc6ed37a02cac77f2b,db0fc67aabd70f6cfd68e34bbe520fe355d8ab05436a0ce8a6fd942c14e0d4a8,"stress setting conversion, migration/launcher recovery, tests, documentation, or report update"
README_JULIA_PUBLICATION.md,modified,de9a6678cfe47c3df4c89a71a7ba243c2c94cb42e027321621048bba22022a6e,173e46f2b2671f0e40925532a65b13c52157aef2557ef270a64b05af60f5d455,"stress setting conversion, migration/launcher recovery, tests, documentation, or report update"
STRESS_STRING_FIX_RECOVERY.md,added,,a86fbc5a6ec46a93d9699e4d5fd2435c47436138fa9916e73be64e70c9887331,"new stress-fix code, recovery tooling, or evidence/report artifact"
SYNTHETIC_SAFI_RECOVERY.md,removed,967e237446369018198ce42fba0b41e17f72ed54619034a56b02bde30ae26787,,superseded recovery/validation artifact removed as stale
reports/CODEX_JULIA_AUDIT_2026-07-28.md,removed,9900704edcf6d0c737d908f2daabbe52235daeeef81d7f0041fcf92a99f566f4,,superseded recovery/validation artifact removed as stale
reports/CODEX_STATIC_VALIDATION_2026-07-28.md,removed,412c34d5a672d4b12c7d5e7a231defbf2334d1ab70269ecc6be9e94a2303bd19,,superseded recovery/validation artifact removed as stale
