regime,reference,method,metric,n,interval_available,mean_method_minus_reference,ci_low,ci_high,method_win_rate,reference_win_rate,tie_rate
gradual,adaptive_ridge,rolling_ridge,rmse,30,true,-0.005783941306704402,-0.007487323013560743,-0.004080559599848061,1.0,0.0,0.0
gradual,adaptive_ridge,rls,rmse,30,true,-0.007032772003341078,-0.008521570378234982,-0.005543973628447173,1.0,0.0,0.0
gradual,adaptive_ridge,neural_gate,rmse,30,true,8.104152589323612e-5,-0.0014920148014819497,0.0016540978532684218,0.4666666666666667,0.5333333333333333,0.0
gradual,adaptive_ridge,boosted_meta,rmse,30,true,0.01603402043453383,0.01197374176929719,0.020094299099770466,0.06666666666666667,0.9333333333333333,0.0
abrupt,adaptive_ridge,rolling_ridge,rmse,30,true,-0.7312702324322584,-1.0627706167617175,-0.3997698481027993,1.0,0.0,0.0
abrupt,adaptive_ridge,rls,rmse,30,true,-0.733372965654167,-1.0647543297652948,-0.40199160154303926,1.0,0.0,0.0
abrupt,adaptive_ridge,neural_gate,rmse,30,true,-0.44802779277879135,-0.7728083985512524,-0.1232471870063303,0.8,0.2,0.0
abrupt,adaptive_ridge,boosted_meta,rmse,30,true,-0.4071222409157259,-0.7154168158086978,-0.09882766602275406,0.8,0.2,0.0
member_degradation,adaptive_ridge,rolling_ridge,rmse,30,true,-0.5025928860443394,-0.6939259564793667,-0.3112598156093121,1.0,0.0,0.0
member_degradation,adaptive_ridge,rls,rmse,30,true,-0.5050139685421016,-0.6963856667990749,-0.31364227028512826,1.0,0.0,0.0
member_degradation,adaptive_ridge,neural_gate,rmse,30,true,-0.2529840208892484,-0.4392582481608519,-0.06670979361764481,0.7,0.3,0.0
member_degradation,adaptive_ridge,boosted_meta,rmse,30,true,-0.2460188063594152,-0.4184583117737044,-0.07357930094512596,0.7666666666666667,0.23333333333333334,0.0
recurring,adaptive_ridge,rolling_ridge,rmse,30,true,0.017409878700289576,0.01451553256023512,0.020304224840344033,0.0,1.0,0.0
recurring,adaptive_ridge,rls,rmse,30,true,0.020943703148473068,0.017283743632212904,0.024603662664733232,0.0,1.0,0.0
recurring,adaptive_ridge,neural_gate,rmse,30,true,-0.0017850435148433852,-0.0038568383356967243,0.0002867513060099537,0.4666666666666667,0.5333333333333333,0.0
recurring,adaptive_ridge,boosted_meta,rmse,30,true,0.03640271829148413,0.03151183971128967,0.041293596871678585,0.0,1.0,0.0
