regime,reference,method,metric,n,interval_available,mean_method_minus_reference,ci_low,ci_high,method_win_rate,reference_win_rate,tie_rate
stationary,adaptive_ridge,static_ridge,rmse,30,true,-0.0007295372120514088,-0.0009196804912567142,-0.0005393939328461034,1.0,0.0,0.0
stationary,adaptive_ridge,rolling_ridge,rmse,30,true,-0.0005599562915031834,-0.0018163692607717327,0.0006964566777653659,0.5,0.5,0.0
stationary,adaptive_ridge,rls,rmse,30,true,-0.001232956769751068,-0.0026123262910329164,0.00014641275153078038,0.9333333333333333,0.06666666666666667,0.0
stationary,adaptive_ridge,hedge,rmse,30,true,0.06592365410031144,0.05127857286994038,0.0805687353306825,0.0,1.0,0.0
stationary,adaptive_ridge,exp3,rmse,30,true,0.17198273030228178,0.15420282237989577,0.1897626382246678,0.0,1.0,0.0
stationary,adaptive_ridge,fixed_share,rmse,30,true,0.03679924828146566,0.028343200354073297,0.04525529620885803,0.0,1.0,0.0
stationary,adaptive_ridge,passive_aggressive,rmse,30,true,0.004207593125761979,0.0023693206232111345,0.006045865628312823,0.1,0.9,0.0
stationary,adaptive_ridge,dma,rmse,30,true,0.08990981219553455,0.07019512427750131,0.1096245001135678,0.0,1.0,0.0
stationary,adaptive_ridge,ensemble_mean,rmse,30,true,0.07034994248162756,0.055547019877381164,0.08515286508587394,0.0,1.0,0.0
stationary,adaptive_ridge,oracle_best_member,rmse,30,true,0.11507052862832275,0.09165495222938758,0.13848610502725792,0.0,1.0,0.0
stationary,adaptive_ridge,validation_best_member,rmse,30,true,0.11533139999551119,0.0918429642421266,0.13881983574889578,0.0,1.0,0.0
gradual,adaptive_ridge,static_ridge,rmse,30,true,0.004501637017291521,0.001860744793682903,0.007142529240900138,0.13333333333333333,0.8666666666666667,0.0
gradual,adaptive_ridge,rolling_ridge,rmse,30,true,-0.005783941306704402,-0.007487323013560743,-0.004080559599848061,1.0,0.0,0.0
gradual,adaptive_ridge,rls,rmse,30,true,-0.007032772003341078,-0.008521570378234982,-0.005543973628447173,1.0,0.0,0.0
gradual,adaptive_ridge,hedge,rmse,30,true,0.05184812159750599,0.0356831099316772,0.06801313326333479,0.0,1.0,0.0
gradual,adaptive_ridge,exp3,rmse,30,true,0.2925567747692846,0.26542472347196616,0.31968882606660304,0.0,1.0,0.0
gradual,adaptive_ridge,fixed_share,rmse,30,true,0.032692605125622456,0.0225084783669936,0.04287673188425131,0.0,1.0,0.0
gradual,adaptive_ridge,passive_aggressive,rmse,30,true,-0.007467683113069065,-0.010191753010260363,-0.004743613215877766,0.8333333333333334,0.16666666666666666,0.0
gradual,adaptive_ridge,dma,rmse,30,true,0.11891831908067999,0.1036298801214467,0.13420675803991328,0.0,1.0,0.0
gradual,adaptive_ridge,ensemble_mean,rmse,30,true,0.0802365185761194,0.05628857343972303,0.10418446371251576,0.0,1.0,0.0
gradual,adaptive_ridge,oracle_best_member,rmse,30,true,0.16208865074847317,0.13685668151280558,0.18732061998414076,0.0,1.0,0.0
gradual,adaptive_ridge,validation_best_member,rmse,30,true,0.18882267258731017,0.152503566687439,0.22514177848718134,0.0,1.0,0.0
abrupt,adaptive_ridge,static_ridge,rmse,30,true,-0.2894170933216076,-0.5944171069172467,0.01558292027403152,0.7,0.3,0.0
abrupt,adaptive_ridge,rolling_ridge,rmse,30,true,-0.7312702324322584,-1.0627706167617175,-0.3997698481027993,1.0,0.0,0.0
abrupt,adaptive_ridge,rls,rmse,30,true,-0.733372965654167,-1.0647543297652948,-0.40199160154303926,1.0,0.0,0.0
abrupt,adaptive_ridge,hedge,rmse,30,true,-0.6543000423129074,-0.9883905307475106,-0.3202095538783042,0.9333333333333333,0.06666666666666667,0.0
abrupt,adaptive_ridge,exp3,rmse,30,true,-0.10409973069046932,-0.43428025530518866,0.22608079392424998,0.3333333333333333,0.6666666666666666,0.0
abrupt,adaptive_ridge,fixed_share,rmse,30,true,-0.6899112063869802,-1.0230063900441735,-0.356816022729787,0.9666666666666667,0.03333333333333333,0.0
abrupt,adaptive_ridge,passive_aggressive,rmse,30,true,-0.7116164870808799,-1.0410666702648537,-0.3821663038969061,1.0,0.0,0.0
abrupt,adaptive_ridge,dma,rmse,30,true,-0.6738847584409353,-1.0023370256111996,-0.3454324912706711,0.9666666666666667,0.03333333333333333,0.0
abrupt,adaptive_ridge,ensemble_mean,rmse,30,true,-0.6400371644961811,-0.9743933611305593,-0.3056809678618028,0.9333333333333333,0.06666666666666667,0.0
abrupt,adaptive_ridge,oracle_best_member,rmse,30,true,-0.6370211450666399,-0.9686372995065408,-0.305404990626739,0.9,0.1,0.0
abrupt,adaptive_ridge,validation_best_member,rmse,30,true,0.12016245951618816,-0.22442682694044325,0.46475174597281954,0.23333333333333334,0.7666666666666667,0.0
periodic,adaptive_ridge,static_ridge,rmse,30,true,0.011499493790693082,0.006923836967124809,0.016075150614261353,0.06666666666666667,0.9333333333333333,0.0
periodic,adaptive_ridge,rolling_ridge,rmse,30,true,0.005757004274717411,0.003948594355408343,0.007565414194026478,0.06666666666666667,0.9333333333333333,0.0
periodic,adaptive_ridge,rls,rmse,30,true,0.004639728341831436,0.0029227167732538283,0.006356739910409043,0.13333333333333333,0.8666666666666667,0.0
periodic,adaptive_ridge,hedge,rmse,30,true,0.07905908969284532,0.06714563295132862,0.09097254643436202,0.0,1.0,0.0
periodic,adaptive_ridge,exp3,rmse,30,true,0.2705659461219031,0.25146360458563494,0.28966828765817126,0.0,1.0,0.0
periodic,adaptive_ridge,fixed_share,rmse,30,true,0.05379320756034449,0.04431147481870119,0.0632749403019878,0.0,1.0,0.0
periodic,adaptive_ridge,passive_aggressive,rmse,30,true,0.010895922265080444,0.007483089898103699,0.01430875463205719,0.03333333333333333,0.9666666666666667,0.0
periodic,adaptive_ridge,dma,rmse,30,true,0.10489438162240887,0.09421837694720497,0.11557038629761276,0.0,1.0,0.0
periodic,adaptive_ridge,ensemble_mean,rmse,30,true,0.09975234117939466,0.08478098474817417,0.11472369761061516,0.0,1.0,0.0
periodic,adaptive_ridge,oracle_best_member,rmse,30,true,0.1961406297441472,0.17136808015090754,0.22091317933738686,0.0,1.0,0.0
periodic,adaptive_ridge,validation_best_member,rmse,30,true,0.1962864817659406,0.1715363701830171,0.2210365933488641,0.0,1.0,0.0
persistent_bias,adaptive_ridge,static_ridge,rmse,30,true,-0.15638407139545984,-0.37598926786429737,0.06322112507337768,0.5333333333333333,0.4666666666666667,0.0
persistent_bias,adaptive_ridge,rolling_ridge,rmse,30,true,-0.4987096912613991,-0.7160373985659932,-0.2813819839568049,1.0,0.0,0.0
