Dataset,End_id,Rho,Rho_V,Past,Num_past,Val,Train_test_split,Method,MAE,MAPE,RMSE,R2,CVAR_05,CVAR_15
M3F1494,23,0.1,10.0,3.0,3.0,9.0,0.45,mean,1785.6055026455024,27.953628785209517,1832.6138959372793,-12.827482973028602,0.0,0.0
M3F1494,23,0.1,10.0,3.0,3.0,9.0,0.45,bandits_full,1657.2373590073144,26.024833494317324,1709.6782396745093,-11.03455261571542,0.0,0.0
M3F1494,23,0.1,10.0,3.0,3.0,9.0,0.45,bandits_recent,1651.5872662279455,25.863887690537144,1709.657673282792,-11.034263080727124,0.0,0.0
M3F1494,23,0.1,10.0,3.0,3.0,9.0,0.45,PA,613.0950198686794,9.854514498725012,744.0118077900601,-1.27908665321109,0.0,0.0
M3F1494,23,0.1,10.0,3.0,3.0,9.0,0.45,ridge,428.8578799607857,6.826007799966572,545.3916044181693,-0.22466717711836215,0.0,0.0
M3F1494,23,0.1,10.0,3.0,3.0,9.0,0.45,adaptive_ridge_exact,476.9314930349608,7.508276332373912,525.2492986085402,-0.13587919246044677,0.0,0.0
M3F1494,23,0.1,10.0,3.0,3.0,9.0,0.45,adaptive_ridge_standard,403.9938130131969,6.39328425014152,491.1296679394233,0.006898767426737118,0.0,0.0
M3F1494,23,0.1,1.0,3.0,3.0,9.0,0.45,mean,1785.6055026455024,27.953628785209517,1832.6138959372793,-12.827482973028602,0.0,0.0
M3F1494,23,0.1,1.0,3.0,3.0,9.0,0.45,bandits_full,1657.2373590073144,26.024833494317324,1709.6782396745093,-11.03455261571542,0.0,0.0
M3F1494,23,0.1,1.0,3.0,3.0,9.0,0.45,bandits_recent,1651.5872662279455,25.863887690537144,1709.657673282792,-11.034263080727124,0.0,0.0
M3F1494,23,0.1,1.0,3.0,3.0,9.0,0.45,PA,613.0950198686794,9.854514498725012,744.0118077900601,-1.27908665321109,0.0,0.0
M3F1494,23,0.1,1.0,3.0,3.0,9.0,0.45,ridge,428.8578799607857,6.826007799966572,545.3916044181693,-0.22466717711836215,0.0,0.0
M3F1494,23,0.1,1.0,3.0,3.0,9.0,0.45,adaptive_ridge_exact,517.0859256615516,8.154683956538578,560.9995562586646,-0.2957649170419192,0.0,0.0
M3F1494,23,0.1,1.0,3.0,3.0,9.0,0.45,adaptive_ridge_standard,402.4130038145131,6.369069777934146,487.4803370353067,0.02160238092262956,0.0,0.0
M3F1494,23,0.1,0.1,3.0,3.0,9.0,0.45,mean,1785.6055026455024,27.953628785209517,1832.6138959372793,-12.827482973028602,0.0,0.0
M3F1494,23,0.1,0.1,3.0,3.0,9.0,0.45,bandits_full,1657.2373590073144,26.024833494317324,1709.6782396745093,-11.03455261571542,0.0,0.0
M3F1494,23,0.1,0.1,3.0,3.0,9.0,0.45,bandits_recent,1651.5872662279455,25.863887690537144,1709.657673282792,-11.034263080727124,0.0,0.0
M3F1494,23,0.1,0.1,3.0,3.0,9.0,0.45,PA,613.0950198686794,9.854514498725012,744.0118077900601,-1.27908665321109,0.0,0.0
M3F1494,23,0.1,0.1,3.0,3.0,9.0,0.45,ridge,428.8578799607857,6.826007799966572,545.3916044181693,-0.22466717711836215,0.0,0.0
M3F1494,23,0.1,0.1,3.0,3.0,9.0,0.45,adaptive_ridge_exact,524.1762690331389,8.270361396818371,567.5724794233483,-0.32630632275232485,0.0,0.0
M3F1494,23,0.1,0.1,3.0,3.0,9.0,0.45,adaptive_ridge_standard,402.27091748836835,6.366896805716633,487.1375936334368,0.022977703846321806,0.0,0.0
M3F1494,23,0.1,20.0,3.0,3.0,9.0,0.45,mean,1785.6055026455024,27.953628785209517,1832.6138959372793,-12.827482973028602,0.0,0.0
M3F1494,23,0.1,20.0,3.0,3.0,9.0,0.45,bandits_full,1657.2373590073144,26.024833494317324,1709.6782396745093,-11.03455261571542,0.0,0.0
M3F1494,23,0.1,20.0,3.0,3.0,9.0,0.45,bandits_recent,1651.5872662279455,25.863887690537144,1709.657673282792,-11.034263080727124,0.0,0.0
M3F1494,23,0.1,20.0,3.0,3.0,9.0,0.45,PA,613.0950198686794,9.854514498725012,744.0118077900601,-1.27908665321109,0.0,0.0
M3F1494,23,0.1,20.0,3.0,3.0,9.0,0.45,ridge,428.8578799607857,6.826007799966572,545.3916044181693,-0.22466717711836215,0.0,0.0
